resolution,parcel_idx,rho,r2,x,y,z,hemi
200,1,0.6009875072863017,0.9999009007366113,-26.238901849112118,-7.128068504929433,14.49461377347126,lh
200,2,0.601678222918686,0.9998944518988229,-33.96470115647,-16.92486846084242,30.885537172627902,lh
200,3,0.5999822815805944,0.9999056075823909,-36.37902550673637,-7.251315666024391,28.91664017143941,lh
200,4,0.5996044070731503,0.9999036738122413,-41.41970574581445,-5.527002077170853,33.20261945294124,lh
200,5,0.6039878813398414,0.9998908513657301,-37.89648876758601,31.07452515734742,36.07220465300099,lh
200,6,0.6042619969457503,0.9998956831197681,-38.97165030062952,-22.33019834690206,-5.578091449590842,lh
200,7,0.6020840375583979,0.9998952906873828,-32.802178484720265,-27.906448270778675,1.7540317947530473,lh
200,8,0.6009616990591635,0.9998979700890717,-37.4430096532388,9.005912423211756,49.200319695639465,lh
200,9,0.6007045573205047,0.9999037069285356,-19.120169201499746,21.464131179905863,53.10737802582453,lh
200,10,0.6008274641130351,0.9998963656216581,-7.39856478587175,10.489577521097202,63.66846887148344,lh
200,11,0.602676972335393,0.999890879851791,-34.65077675535223,-21.989535708421624,7.914957190446375,lh
200,12,0.6017845844478288,0.9998939741515056,-35.6274971489339,-28.251660082587698,17.099674687279148,lh
200,13,0.6023039044173562,0.9998951426340159,-23.82094208763746,-0.20821117228672245,15.282737737183723,lh
200,14,0.5993372091628916,0.9999043186590724,-26.686317268751672,-15.167790358134274,21.692817227072165,lh
200,15,0.5988185878241298,0.999913620683257,-5.403397615004839,39.60965940279799,24.29604581546181,lh
200,16,0.6026934025670347,0.9998959906287279,-20.61386468351579,49.6269433532354,29.407094046393784,lh
200,17,0.6035755391586273,0.99989051143886,-33.782513592334766,22.46958199763553,42.20187926934946,lh
200,18,0.6008355321130531,0.9999004562000792,-15.315229371032233,38.65362400691659,45.43043965378632,lh
200,19,0.6016964979823813,0.9998934927472136,-44.85319007068036,-13.229671610522885,16.618843288479116,lh
200,20,0.6010460460921419,0.9998941416158185,-41.39029348652848,-24.625038119080298,23.399937849876757,lh
200,21,0.5967372548917599,0.9999094614030782,-31.577631502665213,-43.94313856490746,32.508909170923765,lh
200,22,0.5985222869981826,0.999905115543878,-37.03596050114204,-48.60726939959993,41.340195675933806,lh
200,23,0.595075969441399,0.9999260510267393,-37.86908015538842,-39.35620527809045,38.54373924374926,lh
200,24,0.5949890730057892,0.999919377958383,-31.60628135605429,-47.731059911181276,44.581356507894796,lh
200,25,0.5981132015096166,0.9999096869374757,-24.969957460233804,-60.444441862307656,52.891508771259964,lh
200,26,0.5978108797763058,0.9999147554164958,-18.29108509882469,-58.745128275869,59.961194137983696,lh
200,27,0.6007811863027307,0.9998918290457524,-18.164057432090004,-52.10031806161828,66.94705535637362,lh
200,28,0.6051743252681765,0.9998961329121422,-26.497686256681135,7.028800543174944,-31.04547749070797,lh
200,29,0.60674329597046,0.9998986287709676,-22.092334925300527,14.700939820108037,-29.00082333737298,lh
200,30,0.6070620939900506,0.9998867628238467,-27.92462741446168,8.725802922228755,-21.5011756696319,lh
200,31,0.6076783510139913,0.9998966637243571,-40.50210335737411,8.21882861132723,-28.51543259835745,lh
200,32,0.603877563780504,0.9998974448570286,-20.833664374048976,-22.47760446266105,-25.046339268410676,lh
200,33,0.6011657785662392,0.9998982757152635,-37.792751707963234,-6.655574117423953,14.518958652725743,lh
200,34,0.6014601902582727,0.9999004004115304,-34.87544783428049,-11.285832829075352,21.90381649479811,lh
200,35,0.5985314876356509,0.9999044630930891,-31.044965749020946,-13.063243787546687,26.216021266352403,lh
200,36,0.6014807161355238,0.999892524408754,-24.415020841361212,-8.957570128580286,34.319623521426465,lh
200,37,0.6061810262607451,0.9998814189114849,-51.48093589161775,4.363143640143746,8.318564996926021,lh
200,38,0.6044561548441895,0.9998924015658356,-49.10716878647772,-13.393378912210798,0.4076897875755875,lh
200,39,0.6037065869218508,0.999886200823299,-46.35484444887069,-24.092280608731865,7.089580136221242,lh
200,40,0.600845398301243,0.999893617108841,-46.49281954017575,-24.978167061161223,53.78109254865012,lh
200,41,0.5954228042690121,0.9999261102149861,-23.758876913658426,-30.918695780395346,50.127418315316454,lh
200,42,0.598808955567041,0.9999179673986451,-4.527494353695165,-16.53547761575906,55.68250264228238,lh
200,43,0.598858780756095,0.9999069078687756,-32.77834413017404,-32.31689609405075,59.445945946209314,lh
200,44,0.6008590584552533,0.9998984666631563,-31.81764819854805,-32.53441953667591,59.889574469410604,lh
200,45,0.6002834368018731,0.99990175651022,-24.095383689847132,-18.98822293944671,60.487481170454785,lh
200,46,0.5977844004198959,0.9999098931437335,-7.126744205716776,-34.022850420225396,67.9673802461443,lh
200,47,0.6000156808582573,0.9998953913188492,-17.998855717622504,-22.794268212955032,66.67362016818853,lh
200,48,0.5979823288782506,0.9999195763822684,-16.906592061146554,-34.26331239419919,68.52108621600175,lh
200,49,0.6006899495424156,0.9999034651207657,-37.62862313659559,-17.72297008211399,14.927456022489853,lh
