resolution,n_parcels,r,p_spin,mean_rho
400,400,-0.7228129723159153,0.0,0.6016470098457802
200,143,-0.7023416052272893,0.0,0.6012582014601582
100,76,-0.685701538019045,0.0,0.6008242043531241
