parcel_idx,n_subjects,total_power,spectral_exponent,spectral_exponent_r2,delta_power,theta_power,alpha_power,beta_power,gamma_power,gamma_delta_ratio,fast_slow_ratio,peak_freq
0,203,0.77645276510269,0.5352684008387429,0.8779595899999765,0.14360708391645963,0.13155612714963463,0.12332698922718206,0.264376616527372,0.11358594828204172,0.8163661214786989,1.4101296303870157,1.3596059113300492
1,203,0.8138070228710206,0.31184988008424963,0.8122665060618002,0.10908507699823193,0.10827051453034844,0.13142531201707852,0.3088157432195523,0.15621037610580943,1.4496233004867016,2.1568810161016354,1.5714285714285714
2,203,0.6989342983523108,0.3799023767921776,0.7632770117165701,0.17077042171527615,0.09047756403677965,0.08035130412832166,0.23220173717474568,0.12513327129718763,0.7925897516928875,1.4277203563476428,1.0049261083743843
3,203,0.6969027821079256,0.35461329738462555,0.7900727613813376,0.15443248816887245,0.09088997705129308,0.0825066391983658,0.24009751998907344,0.12897615770032067,0.9031245580725039,1.5661603424675379,1.0073891625615763
4,203,0.7641943747926601,0.2974529803150931,0.7998651964996593,0.1238921943206808,0.09981491334125751,0.10237882794474538,0.29035757394650513,0.1477508652394712,1.2561557272830717,2.0114635909142144,1.0517241379310345
5,203,0.7605207555692454,0.34501143090617886,0.828279048572143,0.1336379665133261,0.10338625217336114,0.10120614650277403,0.2836520746250707,0.13863831575471344,1.0995502113565796,1.8430492433240504,1.083743842364532
6,203,0.7413139108106983,0.41033928263749697,0.8590625816592186,0.14690818906579942,0.10644454956594751,0.09730945708733449,0.26470815137170933,0.12594356371990761,0.9198783261386306,1.6080061561856782,1.0369458128078817
7,203,0.7259694893690801,0.29723382209529275,0.821477202812488,0.10980902043681802,0.09671325061646986,0.09785808961009178,0.28231078123269576,0.13927834747300477,1.3357195420647756,2.101532386504985,1.0123152709359606
8,203,0.8062179327929119,0.35280297559587576,0.8382225072604176,0.1256231868326855,0.11403612549834113,0.11364558990937476,0.30764483259606534,0.14526819795644516,1.20450869816381,1.944128225519598,1.0935960591133005
9,203,0.7974855946988666,0.4712774111965458,0.8444316044518785,0.1339632257831863,0.12673049675749887,0.12241896575823179,0.28993152441939074,0.12444138198055874,0.9724537453977885,1.6425480243197805,1.251231527093596
10,203,0.6825713240066141,0.32022610684083264,0.8167970261231581,0.101040918726699,0.0960634559112655,0.09134242698327795,0.2664483934796683,0.1276761289057033,1.3511263605912518,2.0844026240753304,1.0886699507389161
11,203,0.8216842998761015,0.5247981911207972,0.8784673400061949,0.1469134423361095,0.1522202375484202,0.11159307773742327,0.2857631856597176,0.12519435659443087,0.9226659833256218,1.4573352565575486,1.2044334975369457
12,203,0.7372340505349012,0.31838209356771413,0.759338446036267,0.15930437921048335,0.0912094952129632,0.08765776524166541,0.25656938759905135,0.14249302327073782,0.9822410579410166,1.6590977010403662,1.0073891625615763
13,203,0.8597091297837459,0.5648790439821514,0.7118764084221714,0.1268711765458395,0.12247319644627201,0.2066841304729602,0.2897457020262519,0.11393492429242243,0.9405638487959435,1.6819057597926244,4.231527093596059
14,203,0.532549780843457,0.2751427895457128,0.8012651195180849,0.06799489302246324,0.0692360449476792,0.08108264030296201,0.2086570941706622,0.1055791083996904,1.6262934449628406,2.35705771108998,1.5541871921182266
15,203,0.7532434551291255,0.32012291817833943,0.8014534208630288,0.09953217499149537,0.10124497578956397,0.12214238649015836,0.2883111139405272,0.14201280391738064,1.4976069850399811,2.2148505758748582,1.522167487684729
16,203,0.8526961614261155,0.6904806106672726,0.7476438758563401,0.14789420650021823,0.1294660495173651,0.21027545134697995,0.2707948677196702,0.09426558634188205,0.6739330899736848,1.3706983607791614,3.642857142857143
17,203,0.8609760355523458,0.49652443283796965,0.7990713965324087,0.1353803496758411,0.12743809778437362,0.16508932531511172,0.3031347861438212,0.12993347663319813,1.018836944539729,1.7163232169764548,1.9187192118226601
18,203,0.8483531631135439,0.5204145402993461,0.7992518351273116,0.13636005256688055,0.12994588303105037,0.16179027791613035,0.29771975318362087,0.12253719641586185,0.9544712433981323,1.646445713259738,1.9605911330049262
19,203,0.7135479440007063,0.11874899052106444,0.6143428330590726,0.07403091749107917,0.08062992783205458,0.09649092371452204,0.2953502463507054,0.16704592861234507,2.2891295186004954,3.0091452220845882,1.206896551724138
20,203,0.8226540119701028,0.5390491073857028,0.6415164859606685,0.10860775879994426,0.10804237616016418,0.21834932695512793,0.2782683293147484,0.10938622074011808,1.0635907553248574,1.8592948429184817,5.896551724137931
21,203,0.8700244567882472,0.604124942680432,0.6718992876112976,0.12083689860795059,0.12352035944547334,0.22804351110130722,0.2920278324284339,0.10559585520508225,0.9198701518890336,1.6960914765880601,5.615763546798029
22,203,0.7429622127146417,0.42974779212141767,0.8148894842853914,0.19119389613271254,0.10221022974979971,0.0877103766530349,0.23473028082474548,0.12711742935434925,0.7215899499897525,1.285548868602395,1.0
