parcel_name,tau,tau_r2,rho,rho_max,x,y,z,network,hierarchy,hemi
7Networks_LH_Cont_Cing_1-lh,21.04110963196985,0.9165990696251575,0.5686558102906154,0.9740603509452777,-4.776160421524531,3.3872892260028196,29.565354772642547,Cont,4,lh
7Networks_LH_Cont_Cing_2-lh,23.653002364887296,0.9055551041540842,0.5691719720019234,0.9741905165735255,-5.631938679024634,-20.886200270196873,30.063470567925673,Cont,4,lh
7Networks_LH_Cont_OFC_1-lh,43.316961127896285,0.8879513483551075,0.5774708179780479,0.9755040336246439,-26.550332391187037,46.294215887580364,-11.00324992798013,Cont,4,lh
7Networks_LH_Cont_PFCl_1-lh,38.04312013609894,0.8580658759981619,0.580172223540702,0.9756115364045036,-39.98286219393406,44.49227803183792,-4.227329824095635,Cont,4,lh
7Networks_LH_Cont_PFCl_2-lh,26.932418489219835,0.8764077932396604,0.5759355723956204,0.97482336463122,-43.67479987904034,31.001254919487817,9.328674326086235,Cont,4,lh
7Networks_LH_Cont_PFCl_3-lh,29.518726533912982,0.8693375055733301,0.5770156590187527,0.9750618715673621,-37.17159404702809,44.683353233596556,11.003616666016372,Cont,4,lh
7Networks_LH_Cont_PFCl_4-lh,32.883374356795535,0.8935189996721938,0.5751089496124486,0.9750707029931828,-27.312498499700975,48.46731823250944,12.046057690927935,Cont,4,lh
7Networks_LH_Cont_PFCl_5-lh,21.95599635973956,0.8723404478417379,0.5757464681452104,0.9749087695003766,-40.05634864089919,34.73460195647156,20.773722989932516,Cont,4,lh
7Networks_LH_Cont_PFCl_6-lh,20.903964522877363,0.8902850753639591,0.5723419362256597,0.9743274844753901,-41.30241840101659,21.189420096162845,24.91317325045061,Cont,4,lh
7Networks_LH_Cont_PFCl_7-lh,18.56830620785576,0.9105203958492625,0.5690885008316168,0.9738589820868928,-35.60127839570868,6.611779489444118,31.321219123363296,Cont,4,lh
7Networks_LH_Cont_PFCl_8-lh,18.767204199177712,0.8787322080489679,0.575229159879753,0.9750122640922144,-36.739434513405264,29.307903817527933,33.95940796379617,Cont,4,lh
7Networks_LH_Cont_PFCmp_1-lh,21.01787901680193,0.908573487527065,0.5689833698567811,0.9740730200862191,-8.057197486957559,25.82793517352699,45.23992728103291,Cont,4,lh
7Networks_LH_Cont_PFCv_1-lh,31.133038595566642,0.9171285628706737,0.5716841206595231,0.9752072550852077,-29.89262194138431,16.753490333660288,-8.156748894183837,Cont,4,lh
7Networks_LH_Cont_Par_1-lh,26.412061450139305,0.8064883196696323,0.5685204276592717,0.9740267179243414,-30.669323023103605,-70.85583898846625,35.779151649540175,Cont,4,lh
7Networks_LH_Cont_Par_2-lh,17.708439256598535,0.8795099534770995,0.5747910796212533,0.9753448520415127,-55.1412154766401,-44.339928592694555,40.34569594774425,Cont,4,lh
7Networks_LH_Cont_Par_3-lh,17.59764181575929,0.8858758443774891,0.5742888970262089,0.9752365443588628,-49.87760942548472,-52.03775744962924,37.87107204808562,Cont,4,lh
7Networks_LH_Cont_Par_4-lh,18.423183687461464,0.8510839544892416,0.5678090501439018,0.9738962453620323,-33.101278273973634,-61.280167315173266,39.53842575333401,Cont,4,lh
7Networks_LH_Cont_Par_5-lh,15.124025079870462,0.879814667359431,0.5709941850617888,0.9745800814147101,-42.16353801549763,-54.54330464097334,38.16094451106578,Cont,4,lh
7Networks_LH_Cont_Par_6-lh,17.76901597652465,0.8843701000184274,0.5686468737153447,0.9741048288675223,-44.806987749504266,-44.52999690831126,40.556670618036314,Cont,4,lh
7Networks_LH_Cont_Temp_1-lh,22.990752132320377,0.8597021155130932,0.5822515339454655,0.9769454306991712,-57.211865315322974,-48.49948779039654,-9.79951832418249,Cont,4,lh
7Networks_LH_Cont_pCun_1-lh,29.58037364302834,0.7875830345402275,0.5673422568777581,0.9737156084025115,-11.767654628525918,-73.8814289661798,42.71308711155298,Cont,4,lh
7Networks_LH_Cont_pCun_2-lh,20.976588356814702,0.8409302813478905,0.5681915508251335,0.9737103361123783,-9.201124777701803,-60.54585628161993,50.79750410989669,Cont,4,lh
7Networks_LH_Default_PFC_1-lh,36.41158460372691,0.9097116771869822,0.5762174635134583,0.9759665274383937,-33.61832449745661,23.632246449107587,-14.13941626692204,Default,5,lh
7Networks_LH_Default_PFC_10-lh,21.734762081939504,0.8903565543464527,0.5771598140439496,0.9754474116167754,-50.99138564213454,19.756440329511864,11.507010227215693,Default,5,lh
7Networks_LH_Default_PFC_11-lh,37.641795211059545,0.8749645118375624,0.5792985921629814,0.9760617506816713,-15.81624344947457,60.8667199042285,9.16171695739528,Default,5,lh
7Networks_LH_Default_PFC_12-lh,25.328076855804905,0.9216133588238464,0.5686076472860162,0.974053243449386,-7.965922654970231,29.28835279634519,20.396182469770533,Default,5,lh
7Networks_LH_Default_PFC_13-lh,25.987260033712186,0.9133299861930517,0.5714346812041988,0.9745286469028572,-8.371384890674154,48.39054934667812,27.11240473442121,Default,5,lh
7Networks_LH_Default_PFC_14-lh,26.36267186518136,0.9007245599680505,0.5744134546436542,0.9750114692387057,-15.409942514645063,51.866208280389486,28.10462334081702,Default,5,lh
7Networks_LH_Default_PFC_15-lh,23.3182888588952,0.9105089082917993,0.5725886188066301,0.9747004999161897,-22.682431742720222,43.716358941519395,27.085401698922485,Default,5,lh
7Networks_LH_Default_PFC_16-lh,19.38643722649284,0.90205489722421,0.5713654808390372,0.9743535303062305,-26.538007878891285,25.83540307313821,36.45464249462242,Default,5,lh
7Networks_LH_Default_PFC_17-lh,15.659801729132788,0.8953018510626815,0.5731728487658525,0.9748389366299877,-39.371477383003096,17.16829937480326,44.16731197838392,Default,5,lh
7Networks_LH_Default_PFC_18-lh,20.7066347450316,0.9072866512281405,0.572045340181545,0.9746536862805364,-10.141997466127792,40.8736776686952,45.5295158301047,Default,5,lh
7Networks_LH_Default_PFC_19-lh,20.37386902230599,0.9035220750875461,0.5716656420247521,0.9745735909232848,-18.783966244611523,33.33315549040199,41.260516845194026,Default,5,lh
7Networks_LH_Default_PFC_2-lh,32.00099999901328,0.8896387200573502,0.5760165195338525,0.9753151788240129,-34.70789978344892,36.06426456124233,-10.569013609021003,Default,5,lh
7Networks_LH_Default_PFC_20-lh,19.946079828898768,0.8932769174958406,0.5720182619508981,0.9745257989472575,-41.17632369593818,4.009228201098132,44.95589189206806,Default,5,lh
7Networks_LH_Default_PFC_21-lh,15.424819636593043,0.90560194086365,0.5721500820805625,0.9746497359152057,-32.48232657297573,12.289050790007686,50.08764217109446,Default,5,lh
7Networks_LH_Default_PFC_22-lh,18.267596601845884,0.8929161912671898,0.5699934633709837,0.9742883705471316,-23.44276457907831,17.023151878080093,46.57463800841533,Default,5,lh
7Networks_LH_Default_PFC_23-lh,19.524407954327348,0.8997819145836777,0.5707914328534709,0.9746723627683953,-12.982173030072419,23.589070004987814,55.24234533629532,Default,5,lh
7Networks_LH_Default_PFC_24-lh,18.102086463366355,0.9107215868244295,0.5688547458675234,0.9743729390684972,-9.152735601991225,9.76132326640464,61.49960069988782,Default,5,lh
7Networks_LH_Default_PFC_3-lh,44.01657275684347,0.876562628851245,0.5804189346008657,0.9762174621109031,-7.867291358115759,52.10185515544506,-10.136615896116929,Default,5,lh
7Networks_LH_Default_PFC_4-lh,43.84717715109621,0.9132526355208398,0.5720048716536731,0.9751324475885815,-7.983829869904358,33.963842222808495,-7.611546358492939,Default,5,lh
7Networks_LH_Default_PFC_5-lh,33.855914211544004,0.9111875548870266,0.5753421938515669,0.9758286704483403,-44.35761132645896,34.03978960167147,-9.061999510483501,Default,5,lh
7Networks_LH_Default_PFC_6-lh,36.765904756171444,0.876093697578648,0.5786191486142291,0.9756470932888895,-28.05341142380461,51.02973280306366,0.126467596120975,Default,5,lh
7Networks_LH_Default_PFC_7-lh,25.383073498133655,0.9054343968051047,0.5750452106356033,0.9752690743786543,-45.19434298248324,28.546561885063777,2.8626811726198493,Default,5,lh
7Networks_LH_Default_PFC_8-lh,41.38458950056818,0.8903213513473335,0.5770416760097381,0.9757253041615134,-10.472877645855121,54.264563017934826,7.677413568149882,Default,5,lh
7Networks_LH_Default_PFC_9-lh,31.830771395998987,0.9192888744619655,0.5712487587393884,0.9745278726778899,-9.656433775192024,39.931807253550694,7.010555326337453,Default,5,lh
7Networks_LH_Default_Par_1-lh,17.256328837300668,0.8792109196740179,0.5759671921612057,0.9756697812386025,-55.880185205427594,-48.05020732892225,14.13198591098976,Default,5,lh
7Networks_LH_Default_Par_2-lh,14.601413058782496,0.8861906444407305,0.569324095364668,0.9744844937812042,-41.55108204275524,-57.347470788294785,16.98529143658481,Default,5,lh
7Networks_LH_Default_Par_3-lh,20.21961571468806,0.8301327368956273,0.5736656307022365,0.9751575274407424,-40.548965219808935,-74.55700395513728,24.01678948354155,Default,5,lh
7Networks_LH_Default_Par_4-lh,16.864295920147423,0.8567784738624655,0.5699581950526593,0.9746369012858402,-41.27716283724778,-62.525330129826415,28.130630559899625,Default,5,lh
7Networks_LH_Default_Par_5-lh,15.35771613330694,0.8821646941241229,0.5740872695112027,0.975381304189986,-52.61891131383113,-53.600795849430476,25.49838281487069,Default,5,lh
7Networks_LH_Default_Par_6-lh,24.25699133538741,0.8137368100620698,0.5725503870034138,0.9749746050935499,-37.81425022182002,-71.92565027363361,39.0524126702006,Default,5,lh
7Networks_LH_Default_Par_7-lh,14.672303111101987,0.8615293202238676,0.5746882260468581,0.9752663998508783,-45.68542222507664,-62.23764914327143,39.97980898164742,Default,5,lh
7Networks_LH_Default_Temp_1-lh,29.921313782554066,0.9000895690366694,0.5791386309346421,0.9764773754836498,-53.54826433671077,-8.482463698283834,-26.941479467179462,Default,5,lh
7Networks_LH_Default_Temp_10-lh,21.05748088089973,0.8759068485737557,0.5737854245594832,0.9754352031998488,-50.82561294717947,-44.24860364449005,3.751770349536147,Default,5,lh
7Networks_LH_Default_Temp_2-lh,23.867517584385826,0.8973162011489503,0.5804058144246883,0.9767054015489275,-59.00443321134207,-23.129065547404988,-19.74126414400518,Default,5,lh
7Networks_LH_Default_Temp_3-lh,25.436205314132312,0.8707473978892835,0.5815292690832667,0.9769348556886002,-55.8998878444723,-37.692572102154216,-18.855273562020372,Default,5,lh
7Networks_LH_Default_Temp_4-lh,25.424183747459683,0.9067487207447154,0.577181795033433,0.9762375989797575,-54.358635577875475,-17.051905156513318,-15.631370891270379,Default,5,lh
7Networks_LH_Default_Temp_5-lh,28.52314244582659,0.9029025555795742,0.5764238213488123,0.9757071781366211,-54.05553483217058,-1.8512100419218191,-11.398570253721088,Default,5,lh
7Networks_LH_Default_Temp_6-lh,17.84388113592014,0.8939226740844249,0.5821707032216628,0.9770403842932137,-56.61026813713585,-39.34867236602164,-6.485795973566171,Default,5,lh
7Networks_LH_Default_Temp_7-lh,22.872562694216676,0.9071991595205523,0.574379155505722,0.9756820864726738,-50.01933644837031,-28.057049292207275,-6.493524498631449,Default,5,lh
7Networks_LH_Default_Temp_8-lh,23.35464455941486,0.8838088999287029,0.5777547285810073,0.976062492923799,-59.436083540692216,-17.277660291649102,-2.700063468639127,Default,5,lh
7Networks_LH_Default_Temp_9-lh,23.680945052773083,0.8634516001367277,0.5728118413927653,0.9753412949092447,-59.82326093105088,-34.17139723378924,3.546395061182026,Default,5,lh
7Networks_LH_Default_pCunPCC_1-lh,20.397345068109924,0.8313950066440584,0.5690724955218639,0.9741487415045986,-9.604885566296876,-52.84628323563808,9.87281328010286,Default,5,lh
7Networks_LH_Default_pCunPCC_10-lh,25.96169444297339,0.7961423858357055,0.567186888234028,0.9735673857828928,-6.588370719831234,-65.35698311943113,41.11004371626185,Default,5,lh
7Networks_LH_Default_pCunPCC_11-lh,15.695952391568174,0.8579338496854768,0.5666197621886141,0.973538089616263,-9.608375015835986,-49.89139600278693,42.87779102531,Default,5,lh
7Networks_LH_Default_pCunPCC_2-lh,21.683043991138135,0.8017778291245476,0.5675526257540237,0.9738641495695927,-14.866669554486766,-60.69668681156851,18.4270290533182,Default,5,lh
7Networks_LH_Default_pCunPCC_3-lh,21.484505222339987,0.8199680313358079,0.5678634709693484,0.9738197706393211,-6.230428843991831,-53.625226098423205,20.401040892092848,Default,5,lh
7Networks_LH_Default_pCunPCC_4-lh,15.656516184624474,0.8836320798237891,0.5680230407023644,0.9738853836012861,-7.144000104211116,-39.999791068965166,24.702394852025563,Default,5,lh
7Networks_LH_Default_pCunPCC_5-lh,26.488134730490433,0.7997816826957198,0.5667405879745294,0.9736966832193541,-12.848342809016808,-67.21882176356384,31.45711292652562,Default,5,lh
7Networks_LH_Default_pCunPCC_6-lh,23.49011788285644,0.8137071283098217,0.5671144529577897,0.9736617021511479,-8.440695145454226,-59.159778443903754,29.89040256016107,Default,5,lh
7Networks_LH_Default_pCunPCC_7-lh,14.14763119407159,0.8792026341662696,0.5672698379001991,0.9737226643730205,-9.617677686207692,-43.13513911084125,32.795742717816644,Default,5,lh
7Networks_LH_Default_pCunPCC_8-lh,17.215131359066135,0.9040807817681729,0.5690179237382899,0.9740707529870457,-5.80797700204893,-31.030210894304556,37.64951986527735,Default,5,lh
7Networks_LH_Default_pCunPCC_9-lh,23.008852095742245,0.9175956980161912,0.5686520613050273,0.9740863683131841,-4.543543721866758,-14.642256637608945,37.24985080398193,Default,5,lh
7Networks_LH_DorsAttn_FEF_1-lh,14.967945064216343,0.9016298307476606,0.573377388895497,0.9746988854578008,-41.603642844625426,-4.8726245993290025,47.35213099844163,DorsAttn,2,lh
7Networks_LH_DorsAttn_FEF_2-lh,15.322139681795958,0.9145989454052621,0.5704568598636923,0.9742276671303067,-25.96934687170791,-0.002145646303285309,49.013399222344574,DorsAttn,2,lh
7Networks_LH_DorsAttn_FEF_3-lh,15.011776111348809,0.9164087830872094,0.5709428954193204,0.9741248361388396,-30.810203006767843,-8.154398130756022,47.397032978544274,DorsAttn,2,lh
7Networks_LH_DorsAttn_FEF_4-lh,16.471792618264654,0.9058260477742682,0.5699988472112139,0.9745455247636775,-19.954469982210707,5.006351691766845,57.32059775973144,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_1-lh,24.906787580720835,0.8791890336333118,0.5781915112097624,0.9763921386672036,-44.06776635077434,-40.49159082384726,-20.982619666586668,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_10-lh,18.229309581946264,0.8523934873653709,0.5666724759212692,0.9735256465342528,-26.646300322084706,-56.526175849424064,44.357719447264685,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_11-lh,15.788172394299647,0.882252721730656,0.5670704301357461,0.9735254313853674,-34.120084281541466,-38.165892373521146,43.684137618447856,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_12-lh,17.152722861928105,0.8613661673493074,0.568956835121706,0.9737482671951431,-33.11313992804464,-50.485371721579746,51.74668007865061,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_13-lh,26.422799808697015,0.7953051175213272,0.5682704159997142,0.9738815840208628,-14.989167801821624,-67.6397267744343,52.623141078886555,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_14-lh,22.580988577005986,0.8219427372136826,0.5689653568409366,0.9738935091024401,-25.44808543749827,-58.81182706352143,57.2058353206902,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_15-lh,20.77600530141381,0.8428109222860825,0.5683004535615743,0.9736694947953761,-11.334718687303967,-56.133424012381354,59.921293934636,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_16-lh,20.67079627967934,0.8285740860954627,0.5679820376199571,0.9735580501704365,-20.836089485559334,-53.871132154651235,60.84087648156549,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_17-lh,21.418484630202116,0.8478269676476131,0.5707976053257905,0.9741688764359118,-15.274555009222567,-49.17989872900167,68.31696756501545,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_2-lh,23.522924967341496,0.8740155199539131,0.5785077370399858,0.9763796217623092,-46.49037508462965,-52.72023581411219,-14.036187841882299,DorsAttn,2,lh
7Networks_LH_DorsAttn_Post_3-lh,16.398848518500596,0.8899968520206519,0.5807948214782434,0.9768058115314769,-51.59858539211411,-60.29363788044817,-3.1641376485548904,DorsAttn,2,lh
