resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z,PVALB,SST,VIP,GAD1,GAD2,PV_minus_SST,paleo_dist,archi_dist,paleo_minus_archi,mesulam_detailed,granularity_proxy,fc_G1,fc_G2,fc_G3,fc_G4,fc_G5,fc_G6,fc_G7,fc_G8,fc_G9,fc_G10,fc_strength,fc_clustering,fc_local_eff,fc_participation,within_between_ratio,short_range_fc,long_range_fc,short_long_ratio,mean_fc_distance,scov_G1,coher_G1,scov_G2,coher_G2,scov_G3,coher_G3,scov_G4,coher_G4,scov_G5,coher_G5,scov_G6,coher_G6,scov_G7,coher_G7,scov_G8,coher_G8,scov_G9,coher_G9,scov_G10,coher_G10,mesulam_vertex,bb_sd,bb_cv,bb_skew,bb_kurt,bb_mpc_g1,bb_mpc_strength,bb_grad_prof,spectral_exponent,total_power,peak_freq,gamma_delta_ratio,rho_fmri,tau_fmri,spectral_exp_fmri,tau,tau_r2,hierarchy_orig,rho_std,tau_std,rho_r2_mean,bb_sd_proper,bb_cv_proper,bb_skew_proper,bb_kurt_proper,bb_mpc_g1_proper,bb_mpc_strength_proper,bb_grad_prof_proper,sc_strength,sc_degree,sc_mean_dist,sc_short_range,sc_long_range,sc_short_long_ratio,sc_clustering,sc_participation,sc_within_frac
400,0,0.5981080815022738,0.999907990263498,7Networks_LH_Cont_Cing_1-lh,lh,Cont,-2.225671791832552,3.6683418127521312,30.230103321564503,0.6253721135438182,0.3317470376338852,0.4665521806485858,0.4018327234303305,0.4246904301200528,1.0439881213535145,52.12750636320792,54.8442159693948,-2.716709606186882,4,17.03755944911306,-0.06284698744688,0.0913253415318592,0.0036071722923061,-0.0138282568819435,0.0385086994156527,-0.0048737409618899,0.020108907708894,-0.0024767631065298,0.0244186119562014,-0.0050017016473101,73.57947100000001,0.2015175731652593,0.0027387744220801,0.8269048238025289,1.5929030868300629,0.2070945333333333,0.1682443896103896,1.2309149427794837,62.18200705792129,0.017582,0.019724,-0.064116,-0.06499,0.016391,-0.023376,0.001396,0.0029466,-0.019565,0.015912,0.0021874,0.012086,-0.001387,-0.015942,0.0080085,0.0089422,-0.021541,-0.0038602,0.0023356,0.0049848,3.0,600.003088880938,0.0420476459663156,-0.5966113295716747,-0.800034133571208,0.0170350365608965,0.2397503094444444,272.85714285714283,0.5352684008387429,0.77645276510269,1.3596059113300492,0.8163661214786989,0.5628265277248733,3.899974636714546,-0.9977003706239012,21.04110963196985,0.9165990696251576,4,0.0076190931582486,0.0077639812258214,0.9999078936691324,1205.265927318762,0.065543954282643,0.1419064577685867,-1.1279866910532153,-0.0989608768239853,0.2984197166666666,524.8571428571429,241.77717,49.0,35.34214360249042,187.01560999999998,54.76156,3.4150891610768292,1.6033250716905834,0.7393036998299019,0.14108358535257898
400,1,0.6026786545140911,0.999885639148424,7Networks_LH_Cont_Cing_2-lh,lh,Cont,-3.1809476000639414,-21.0075277193948,29.78528140953138,0.266162526121889,0.4814106209753834,0.5139578081803281,0.340189252398679,0.359297473948323,-1.5613674329113847,57.122379985920965,48.61080349685499,8.511576489065973,4,24.17342716153727,0.0253988581077725,0.0322763414810761,0.0023330277389489,-0.0089345040799497,0.0070966480489846,0.0431409614897247,0.025394304126619,0.0340487757140737,-0.0129134356937125,-0.0019540253375422,61.889195,0.177830184860235,0.0028733639993208,0.8323261249601297,1.3191037272226676,0.1584373829787234,0.1494005833333333,1.0604870432077165,57.96982182379881,0.010754,0.01291,-0.050196,-0.038133,0.021196,-0.026173,-0.0053793,0.00032128,-0.022224,0.0033766,-0.031505,0.013969,0.0096635,-0.014429,0.013015,-0.0044261,-0.013659,0.0067266,0.0045091,-0.0028359,2.0,600.003088880938,0.0420476459663156,-0.5966113295716747,-0.800034133571208,0.0170350365608965,0.2397503094444444,272.85714285714283,0.3118498800842496,0.8138070228710206,1.5714285714285714,1.4496233004867016,0.5779830487160359,3.6697385467388233,-0.7159915081013395,23.653002364887296,0.9055551041540842,4,0.0043616465484227,0.0049771710144326,0.9998856034706728,979.2877547823554,0.0516594618645936,-0.1561292836062077,-1.085232568971513,0.1458675315927448,0.3250767172222222,441.7857142857143,283.18033,54.0,34.13425538482423,250.99893000000003,32.1814,7.7995031291124715,1.7821672127614452,0.7333124576446619,0.08476895270232929
400,2,0.605668207142482,0.9999001812591968,7Networks_LH_Cont_OFC_1-lh,lh,Cont,-27.72670631495984,46.75480225866392,-14.109120785780847,0.6751731888079888,0.3707979368390745,0.4197584721894259,0.5155721021430782,0.4107586156058471,1.0700274610807552,43.31174462492705,66.78867197751889,-23.47692735259184,4,-22.491913149067685,-0.0968727050357775,0.1262994638301494,-0.0248383401170814,-0.0089018397446891,0.019215542386051,-0.0104943515783125,0.0108819286817975,-0.0127061836681315,0.0392160997602221,-0.0033624001052864,108.712475,0.259828929477539,0.0023900562421865,0.8193244139610525,1.872532921150701,0.3383342307692308,0.2561995277777777,1.3205888143971762,94.0117565516477,0.027689,0.033382,-0.055195,-0.055821,-0.012274,0.023811,-0.0026663,-0.0086356,-0.0091852,-0.001243,0.016313,0.0024093,-0.012565,-0.0076994,0.0071469,-0.0045082,-0.01418,-0.005937,0.0035148,0.0016362,3.0,769.1680527253674,0.0468125747209732,-0.632191124831383,-0.9118101132045916,0.0188843446885889,0.3202648555,336.0,0.3799023767921776,0.6989342983523108,1.0049261083743843,0.7925897516928875,0.5584310168616432,4.123397150752134,-1.1046061993497525,43.316961127896285,0.8879513483551075,4,0.0094884338475486,0.0122811638069475,0.9999002323698476,1205.265927318762,0.065543954282643,0.1419064577685867,-1.1279866910532153,-0.0989608768239853,0.2984197166666666,524.8571428571429,100.72080000000001,18.0,32.114869052864776,92.813,7.9078,11.73689268808345,3.084193646986063,0.6756738167403447,0.20627516858484043
400,3,0.6071040987495276,0.9998957688675848,7Networks_LH_Cont_PFCl_1-lh,lh,Cont,-42.23302016870068,46.22517440858052,-4.52016727584215,0.663442103016748,0.3773549926601058,0.5463635439529967,0.5574097675315343,0.5304967902338593,0.9755853364075672,48.72418649144765,68.1491048081406,-19.42491831669296,3,-16.579652688079445,-0.1039403828757512,0.1344149422135029,-0.0481172246664467,0.0019584495281293,-0.0249220871673588,-0.0009259214466202,-0.0097836327525516,-0.0003651277550697,-0.0169130934661928,0.0019179500064625,99.287014,0.2432179659913222,0.0024496452878628,0.8182382418809253,1.884238348919526,0.3275114615384615,0.2349388541666666,1.3940285124857232,95.2358006948395,0.033386,0.028817,-0.057497,-0.057352,-0.027848,0.0026156,-0.012182,-0.0013586,-0.0069533,0.007078,-0.0095917,-0.000142,-0.015102,-0.0043724,0.014739,-0.0063749,-0.00288,-0.015761,0.016618,0.0027477,4.0,769.1680527253674,0.0468125747209732,-0.632191124831383,-0.9118101132045916,0.0188843446885889,0.3202648555,336.0,0.3546132973846255,0.6969027821079256,1.0073891625615763,0.903124558072504,0.573590228133396,3.86208560649974,-0.8323086055033342,38.04312013609894,0.8580658759981619,4,0.0112594118717404,0.0127932947502597,0.9998957824541146,750.8716534801405,0.0441497026870738,0.1789349081002261,-1.2513801936355462,-0.010907498617133,0.2929250072222222,339.57142857142856,188.7136,31.0,40.62190467603393,140.3478,48.36579999999999,2.901798378186856,1.974140919853726,0.6894006723149324,0.34970823512454846
400,4,0.6056887657629545,0.9998889223255686,7Networks_LH_Cont_PFCl_2-lh,lh,Cont,-45.096832626477806,32.46106359431174,10.39753443662044,0.9107217426357652,0.4278404282904387,0.3789052918998428,0.6023830620771636,0.4964229244798683,1.9086966780823147,46.36718430500207,59.549260517187065,-13.182076212184995,3,-3.4997984163212577,-0.1104276255240786,0.1411247540758556,-0.0564327035653356,0.0024445265396675,-0.0309190123261732,-0.005112852503511,-0.0119866746279639,-0.0031594975518161,-0.0132595233658959,0.0019095298471891,112.996878,0.2641289239406093,0.0023374886865491,0.811966837112944,2.009855782060296,0.3846642666666666,0.2703796215139442,1.4226821695012992,85.4528160740559,0.045435,0.041519,-0.061359,-0.047834,-0.052618,0.037307,-0.012557,-0.0054624,-0.0038562,-0.0073557,0.0045518,0.0028517,-0.015125,-0.005844,0.0077143,-0.0074899,-0.010458,-0.011656,0.0035558,0.0054157,3.0,450.0010370358421,0.0279694845568924,-0.24485524434588,-1.106454141391878,0.0558952960160516,0.3074791875,292.2142857142857,0.2974529803150931,0.7641943747926601,1.0517241379310345,1.2561557272830717,0.5959342851114917,3.082719510459868,-0.3240952651896519,26.932418489219835,0.8764077932396604,4,0.007251405848227,0.0095695697648146,0.999889071183945,1236.468167357692,0.0602217115789238,0.0882410079971069,-1.1287861424789327,-0.1187835106236504,0.2609894555555555,507.1428571428572,122.48059999999998,21.0,39.201083902889664,85.01439999999998,37.4662,2.2690958784123576,2.4201990522455517,0.6141423743884611,0.4122897830350276
400,5,0.6050124728854904,0.9998952644959396,7Networks_LH_Cont_PFCl_3-lh,lh,Cont,-39.34782922495966,46.15311339668606,11.77650232563848,0.8348831122357863,0.368331279223206,0.5617235192212688,0.6758955555901096,0.5671069309722137,1.869274200568428,54.4469672121505,71.20624764046161,-16.759280428311108,3,-6.780032623622729,-0.0903188601187114,0.1192637951617702,-0.0347680356945833,-0.0081903309492207,0.0038765796386928,-0.0136186243374428,0.0037485646118301,-0.0175763636946347,0.0436094270311326,-0.0053399440681343,110.60027,0.2636761012356665,0.0023840457282376,0.8228480697909393,1.9452915913948023,0.3820426551724138,0.2670044927007299,1.4308472908638987,91.5759630700738,0.045075,0.033973,-0.056597,-0.060821,-0.056078,0.024968,-0.011422,-0.0073116,-0.003079,-0.006376,0.009083,0.010922,-0.01118,0.0030998,0.0042919,3.7656e-05,-0.013912,-0.0087875,-0.003652,-0.0019746,3.0,1229.1568636897227,0.0666778280859046,0.7013627911118075,-0.8066689394256934,-0.0806637947231957,0.2846708630555555,611.9285714285714,0.3450114309061788,0.7605207555692454,1.083743842364532,1.0995502113565796,0.5650872712719679,3.940058498631308,-0.9379899508565692,29.518726533912982,0.8693375055733301,4,0.0070997437405563,0.0091935660210213,0.999895365477412,1236.468167357692,0.0602217115789238,0.0882410079971069,-1.1287861424789327,-0.1187835106236504,0.2609894555555555,507.1428571428572,123.5926,19.0,36.83431242700862,84.21750000000002,39.375099999999996,2.138851710847366,3.5378469360336675,0.599642161937819,0.5536828256707925
400,6,0.6034817611893579,0.9999020081450868,7Networks_LH_Cont_PFCl_4-lh,lh,Cont,-28.39669974502809,50.5418346111591,12.993818799157047,0.6765716029541516,0.1970939483555313,0.2865775961552113,0.2418369948292902,0.2928079473461595,2.050480509819247,56.282119188562106,74.83982081192423,-18.55770162336212,3,-7.366259103853502,-0.0114474075928359,0.0513681803990579,-0.023567002145068,0.000900261177747,-0.0248668722957148,0.0372215407825208,0.0066760065793237,0.0265355050522593,-0.0224805501380374,0.0006234660785378,52.997816,0.1620807303771847,0.0030582530113482,0.8316459307194696,1.5216097169187528,0.1665711612903225,0.1287119365671641,1.2941391886679356,92.61718422023166,0.017038,0.015531,-0.05526,-0.051957,0.0059701,-0.022643,-0.017405,0.0019266,-0.024217,0.01175,-0.057374,0.014174,0.0019536,-0.0063249,0.027178,1.2754e-05,0.0052457,-0.0039988,0.019174,0.0045489,1.0,951.1966404949552,0.0523367848323453,-0.3173477655637377,-0.8064286597209644,0.0210910992154545,0.2548003505555555,414.2142857142857,0.4103392826374969,0.7413139108106983,1.0369458128078817,0.9198783261386306,0.5950174657384926,3.1768908091466947,-0.3935394464565997,32.883374356795535,0.8935189996721938,4,0.0057719838796767,0.0096271256082859,0.9999020914407892,1063.762304276665,0.0578842656891978,0.255770577864548,-1.3042659152686331,-0.1242106584446908,0.327150015,471.8571428571428,161.52427999999998,32.0,40.74765318637737,113.2341,48.29018,2.3448680456309234,1.872819346009388,0.60289002048784,0.24824936535857026
400,7,0.6048155423728888,0.9998887177107528,7Networks_LH_Cont_PFCl_5-lh,lh,Cont,-42.35231753906917,35.688901406168284,20.877683296881088,0.701662848136484,0.4656653705705748,0.5014493990384923,0.4561671691670123,0.4236010512493083,0.6685854442610213,54.12834340780756,66.24337565023554,-12.11503224242798,3,1.819939556278168,-0.0833523226382217,0.1123603404359171,0.0015308058576333,-0.0184280477598484,0.0481281700617508,-0.010083847252844,0.0181564994882034,-0.0165167430625834,0.0468391822920327,-0.0054617796055563,107.833036,0.255917449494223,0.0023732750090981,0.8162535532113753,1.876286890402756,0.3768783529411764,0.2611788725099602,1.442989431629869,86.01763495039617,0.058261,0.031025,-0.034668,-0.024178,-0.068271,0.017365,-0.001649,0.0015129,0.0044853,-0.0042109,0.024208,-0.0094889,-0.012323,-0.0027333,0.014458,0.00097077,-0.016078,-0.00072728,-0.00516,-0.0065025,3.0,1018.2123201419676,0.0580974662390952,-0.0145166049603317,-1.0975976178253504,0.0127845530699726,0.2336965683333333,459.07142857142856,0.2972338220952927,0.7259694893690801,1.0123152709359606,1.3357195420647756,0.5905558558352422,3.3659083203138223,-0.5047162211756305,21.95599635973956,0.8723404478417379,4,0.0051337686124437,0.0083698168800919,0.9998888507069884,576.2362324217,0.0389315485896499,-0.5223105207821892,-1.3920232092199674,0.0942585787173203,0.28816068875,155.71428571428572,168.61990000000003,28.0,43.72164495202663,100.73010000000001,67.88980000000001,1.4837295145935268,2.1508550312971177,0.6677960351463019,0.430628294762362
400,8,0.6031580306811845,0.999893507811134,7Networks_LH_Cont_PFCl_6-lh,lh,Cont,-42.86352279989477,21.123559542518247,25.78900273088465,0.7984863573573225,0.1858659522512354,0.456342606015081,0.5402947528139463,0.6159923989129624,2.712963670115738,51.43908664812508,57.79342684825708,-6.354340200132,3,9.136333775775316,-0.097737547608958,0.1266194928463109,-0.0512685383150587,0.0007316625439117,-0.0259152881967562,-0.0087831372408349,-0.0070894929748277,-0.0081483411737848,0.0089293958621585,-0.0021860180978911,109.702704,0.2626218235862335,0.0023939412066451,0.8197705278409132,1.8877688230865848,0.31088025,0.266419871559633,1.166880863891293,79.00607619443716,0.056258,0.047874,-0.060649,-0.055976,-0.084703,0.074324,-0.023607,-0.014345,0.0069225,-0.019289,-0.0094613,0.014696,-0.01554,0.010287,-0.009216,0.0068792,-0.0093935,-0.0036565,0.0012748,-0.0012416,4.0,1127.2143166033493,0.0572164837047786,-0.3468794879539843,-1.050649450064373,0.0075357258376902,0.1950460925,466.0,0.3528029755958757,0.8062179327929119,1.0935960591133005,1.20450869816381,0.5582695116382366,4.153931176673608,-1.1017851649585453,20.903964522877363,0.8902850753639591,4,0.0059552307705437,0.0086726224658951,0.9998937246840768,1008.9261926534678,0.0519201496130216,-0.1791126489513874,-1.2297208010059155,0.0873467976561769,0.2053936636111111,418.2142857142857,215.2654,32.0,44.3236774152691,137.162,78.1034,1.7561591428775751,1.8837144039346019,0.6720963133216993,0.3741274724131235
400,9,0.5995934292107047,0.9999037212566152,7Networks_LH_Cont_PFCl_7-lh,lh,Cont,-37.14715568504142,6.909435672052142,31.01085873065482,0.8904782489104772,0.1353422889795922,0.2165916831469569,0.2918809597411628,0.362176092306346,3.448536458585007,51.38059375671807,51.55310033415103,-0.1725065774329621,3,16.533684536777248,-0.1067308007239518,0.1295744339425913,-0.0587823398799387,0.0087477694338075,-0.0425274318209192,-0.0009621493820136,-0.0153011977058275,0.0042659316011924,-0.0338954668133923,0.0042977495771481,103.40186599999998,0.2483694742604536,0.0024019825160622,0.8099822976495663,1.8960308792644192,0.2344373773584905,0.2408261715976331,0.9734713453520992,71.5443239736523,0.032508,0.036264,-0.054315,-0.027494,-0.032743,0.030982,-0.024976,-0.0080246,-0.0049852,-0.011087,-0.0474,0.0085192,-0.0061365,-0.00054172,0.008523,-0.013539,0.0093591,-0.019234,0.018852,0.0034993,4.0,594.8791996886614,0.0362229104993887,-0.1674791465075023,-0.3325059700400676,0.0199230026238243,0.2211432269444444,452.6428571428572,0.4712774111965458,0.7974855946988666,1.251231527093596,0.9724537453977884,0.5723172370205865,3.855478163775324,-0.85790543442656,18.56830620785576,0.9105203958492624,4,0.007066796698596,0.0089282825488839,0.9999040807887114,1008.9261926534678,0.0519201496130216,-0.1791126489513874,-1.2297208010059155,0.0873467976561769,0.2053936636111111,418.2142857142857,94.79260000000001,15.0,30.03610913058141,75.81539999999998,18.9772,3.9950783044706535,3.1447565274344225,0.7607016970251573,0.2705506547979483
