region,hierarchy_level,mean_tau,sd_tau
occipital,1,39.22389232969651,32.34298213778633
temporal,2,53.01575195887511,18.630913686620325
parietal,3,48.16622288600924,36.47803262444177
central,4,28.30065029821476,16.05875737520355
frontal,5,55.41437132046267,24.94078699522854
