parcel_idx,parcel_name,hemi,network,x,y,z,is_medial_wall
0,lh.17Networks_2-1,lh,2,-13.592773018488865,-70.21421019721662,8.16221956966442,False
1,lh.17Networks_16-1,lh,16,-42.64463689850598,-68.07659669673099,32.50388752066111,False
2,lh.17Networks_16-3,lh,16,-13.239235935059,60.69784337408999,8.488220275375228,False
3,lh.17Networks_16-5,lh,16,-6.92520701746608,39.91067826027094,4.82879955955319,False
4,lh.17Networks_16-7,lh,16,-2.094005206330069,-28.417749870234523,37.044939288873785,False
5,lh.FreeSurfer_Defined_Medial_Wall-1,lh,0,,,,True
6,lh.FreeSurfer_Defined_Medial_Wall-3,lh,0,,,,True
7,lh.17Networks_6-2,lh,6,-53.34221008953693,2.604961615296102,35.489064792445646,False
8,lh.17Networks_6-3,lh,6,-52.354363327506206,-63.735994822824026,2.7210496159102493,False
9,lh.17Networks_6-7,lh,6,-16.530893255172845,-53.57760370985527,63.969500300117524,False
10,lh.17Networks_6-6,lh,6,-28.10532714677343,-5.55403549998187,53.141661470792144,False
11,lh.17Networks_12-11,lh,12,-25.40468521819027,5.836542434039834,53.34032790116438,False
12,lh.17Networks_12-12,lh,12,-3.1993836844594856,6.371123326342357,35.48096433137592,False
13,lh.17Networks_12-7,lh,12,-37.74540166823105,9.969874170062015,26.93741090501453,False
14,lh.17Networks_12-3,lh,12,-47.22091072037241,7.718436979044792,20.90436938537688,False
15,lh.17Networks_12-1,lh,12,-55.06322939807447,-53.70406704997372,-14.886875904356502,False
16,lh.17Networks_12-5,lh,12,-43.26589898055399,1.8359458864210845,36.55528912975083,False
17,lh.17Networks_10-1,lh,10,-13.12265586420027,33.56026167754724,-18.85060147838771,False
18,lh.17Networks_5-2,lh,5,-23.82968955099707,-67.13974323392164,44.859357002433505,False
19,lh.17Networks_13-4,lh,13,-45.020673141810725,-57.79221976648709,43.16703685975799,False
20,lh.17Networks_13-5,lh,13,-41.351746820849044,14.428874181037726,34.659383649604266,False
21,lh.17Networks_13-8,lh,13,-35.11455031074344,-66.23645797174034,45.11706356726571,False
22,lh.17Networks_13-10,lh,13,-28.936677135231005,12.088540164294796,55.45885059981354,False
23,lh.17Networks_13-12,lh,13,-4.418797943546874,24.06440559156698,40.88826166849001,False
24,lh.17Networks_13-7,lh,13,-40.737681241621054,26.145372772216795,39.68441418095639,False
25,lh.17Networks_13-11,lh,13,-28.419190538184377,52.05263512944382,4.616370995196617,False
26,lh.17Networks_17-2,lh,17,-58.7890955441371,-19.685328513525107,-20.44054977362755,False
27,lh.17Networks_17-5,lh,17,-51.48501522677614,24.61473872301248,7.586370777731213,False
28,lh.17Networks_17-1,lh,17,-59.74521071195179,-40.42311148872172,-4.907421568842013,False
29,lh.17Networks_17-3,lh,17,-53.00777027722392,-0.15599926383131943,-27.267957122178625,False
30,lh.17Networks_17-11,lh,17,-6.831142106056213,52.26705471038818,-12.354769811630248,False
31,lh.17Networks_17-8,lh,17,-39.69864091014081,28.764614418487966,-12.983541327893896,False
32,lh.17Networks_15-4,lh,15,-15.357889039776264,-62.275750044064644,16.06842840405611,False
33,lh.17Networks_15-1,lh,15,-40.825021610626166,-75.77841416869904,24.79013009429186,False
34,lh.17Networks_15-5,lh,15,-9.581185142926488,-53.631742048977614,4.714275059229795,False
35,lh.17Networks_1-2,lh,1,-20.64531814428212,-92.27740124978963,2.9046289039768496,False
36,lh.17Networks_4-1,lh,4,-49.520353089342365,-17.948829603368335,16.97661182206027,False
37,lh.17Networks_9-2,lh,9,-33.494116487452025,2.18191010820179,-32.9338972733008,False
38,lh.17Networks_11-4,lh,11,-3.6463754732090576,-27.389364581578857,27.928745504397497,False
39,lh.17Networks_11-1,lh,11,-11.152661451677835,-70.7277446957366,34.15295758082333,False
40,lh.17Networks_3-2,lh,3,-13.156561770039263,-27.231675711150043,62.14314004104021,False
41,lh.17Networks_8-6,lh,8,-30.781099740542963,27.746097096517282,-3.686944235319146,False
42,lh.17Networks_8-10,lh,8,-5.45907685250947,-19.21331191544581,41.10304514567057,False
43,lh.17Networks_8-8,lh,8,-12.356317370046268,10.117205568877134,58.76687697497281,False
44,lh.17Networks_8-4,lh,8,-35.5649791737159,47.04014470278705,17.408496256349018,False
45,lh.17Networks_8-5,lh,8,-31.96737488265586,34.05343191096213,34.11426955028973,False
46,lh.17Networks_8-9,lh,8,-6.586383418012037,21.818117429879123,30.519390246384923,False
47,lh.17Networks_7-4,lh,7,-36.153889214385956,7.919191491186642,8.466975035256128,False
48,lh.17Networks_7-8,lh,7,-6.330434709335544,5.789071452505141,40.79358256578879,False
49,lh.17Networks_7-6,lh,7,-12.746069604093847,-24.530922431808087,41.15142536507617,False
50,lh.17Networks_7-1,lh,7,-56.74507968282381,-31.91586894927949,26.734092628292093,False
51,lh.17Networks_14-3,lh,14,-17.10375097773292,5.115185824341395,60.35241064591841,False
52,lh.17Networks_14-2,lh,14,-55.97976861131413,-46.89887768454005,8.739404876116833,False
53,rh.17Networks_2-2,rh,2,17.560127286493508,-57.22134960772677,-0.8973111918848318,False
54,rh.17Networks_16-4,rh,16,7.705423372564669,37.21746281353437,17.53808427392961,False
55,rh.17Networks_16-2,rh,16,6.028984834127563,39.03672127886312,-7.377889727692072,False
56,rh.17Networks_16-6,rh,16,11.748852913079753,62.54848458897204,12.595595029250186,False
57,rh.17Networks_16-10,rh,16,61.566982061966605,-14.000481974171555,-18.786588716766108,False
58,rh.17Networks_16-9,rh,16,47.07030429340421,-60.5849955919743,26.843298394290198,False
59,rh.17Networks_16-8,rh,16,33.25352449584425,34.53215264437492,-10.649688536660713,False
60,rh.FreeSurfer_Defined_Medial_Wall-2,rh,0,,,,True
61,rh.FreeSurfer_Defined_Medial_Wall-4,rh,0,,,,True
62,rh.17Networks_6-1,rh,6,13.015889379824403,-52.85225403640179,62.900018871049326,False
63,rh.17Networks_6-4,rh,6,33.90580850830543,-43.114144085749096,51.972789233133675,False
64,rh.17Networks_6-8,rh,6,55.71213165305842,-24.584138043910176,38.774733260406585,False
65,rh.17Networks_6-5,rh,6,39.84737311876737,-33.499697704260846,41.131772215210134,False
66,rh.17Networks_12-4,rh,12,36.86707620185372,-48.013844295373566,39.29829658422872,False
67,rh.17Networks_12-9,rh,12,55.610725106998366,-49.175201104611766,-22.394725161182638,False
68,rh.17Networks_12-8,rh,12,49.059179162359854,-40.96340909189992,43.3522391777534,False
69,rh.17Networks_12-2,rh,12,28.765106079865536,6.695608697556897,52.30686733364575,False
70,rh.17Networks_12-6,rh,12,40.300580581633405,8.15719673224952,27.49215820763304,False
71,rh.17Networks_12-10,rh,12,57.96950505527362,-53.177411859685726,-7.231172327816155,False
72,rh.17Networks_10-2,rh,10,14.202962927415808,22.614608651122147,-20.655716553071343,False
73,rh.17Networks_5-3,rh,5,44.00302306219527,-56.81363901000618,-6.860469328105914,False
74,rh.17Networks_5-1,rh,5,20.742799956397114,-63.804527930065056,53.76372148499282,False
75,rh.17Networks_13-6,rh,13,41.57953166553244,49.24515020668634,-2.8465774205435523,False
76,rh.17Networks_13-9,rh,13,63.12835925480105,-43.39871737342211,-12.291205665143499,False
77,rh.17Networks_13-1,rh,13,6.977840002797988,30.852638141644952,43.02831595713698,False
78,rh.17Networks_13-3,rh,13,31.440755692538836,43.95444645786917,-13.573312702557898,False
79,rh.17Networks_13-2,rh,13,27.90988580038873,54.28299102465973,6.605906865801546,False
80,rh.17Networks_17-6,rh,17,41.48942120869955,26.793935994536625,-14.818145828030493,False
81,rh.17Networks_17-10,rh,17,60.651364929748304,-31.49389093391823,-6.95761180627442,False
82,rh.17Networks_17-4,rh,17,12.065620217743504,57.475686011186504,26.20200493326589,False
83,rh.17Networks_17-9,rh,17,55.08284104593684,26.581184237190847,6.517192474911722,False
84,rh.17Networks_17-7,rh,17,50.297273923272954,-49.37594262214556,21.670688485446043,False
85,rh.17Networks_15-3,rh,15,22.500373615938074,-22.535078937306125,-23.218248167598947,False
86,rh.17Networks_15-2,rh,15,21.270183065959387,-34.56655148097447,-13.497950398354304,False
87,rh.17Networks_15-6,rh,15,41.73669332318601,-66.2924710276556,20.6077573236111,False
88,rh.17Networks_1-1,rh,1,27.37326548383607,-82.5880547100375,-1.166513035844436,False
89,rh.17Networks_4-2,rh,4,53.39998669562858,-10.021648432901477,32.60598942631955,False
90,rh.17Networks_9-1,rh,9,38.28480763607909,-7.693911949886934,-32.44851888447627,False
91,rh.17Networks_11-3,rh,11,5.5735592364878475,-57.562296961656074,48.26379014607187,False
92,rh.17Networks_11-5,rh,11,27.31983757019043,32.44970547069203,37.583639578385785,False
93,rh.17Networks_11-2,rh,11,4.930636112932871,-38.86296331894268,34.03685471471528,False
94,rh.17Networks_3-1,rh,3,9.429794728421719,-14.117672864015786,57.931436006302405,False
95,rh.17Networks_3-3,rh,3,39.51795863219802,-22.808900249119652,53.18855868511089,False
96,rh.17Networks_8-2,rh,8,6.670530214666683,-26.133631512443014,42.275435401794105,False
97,rh.17Networks_8-3,rh,8,7.3991640775100045,14.417349617032038,57.74624408777209,False
