var1,var2,r,p_param,p_spin,n_parcels
rho_mean,z,-0.07339056730641054,0.46128221796526,0.4604,103
tau_mean,y,-0.40927694637507683,1.7659301262587076e-05,0.0,103
tau_mean,z,0.21636492083176329,0.028153765559474086,0.0228,103
rho_mean,y,0.3398593321378598,0.0004443252748371908,0.0006,103
tau_mean,rho_mean,-0.7842428089831852,1.1623157901133723e-22,0.0,103
