band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
alpha,22,lh.17Networks_13-10,0.20672895745731865,0.20694734532411327,0.013836427000646991,267,0.44163011972232685,0.4478488805213427,0.02260490158980155,0.787790483522725,0.9990515222119554,1.0
alpha,23,lh.17Networks_13-12,0.20853346983419457,0.20919210415543332,0.013544686369274651,267,0.438537807862061,0.44462201130314005,0.02236760379062853,0.756903086661552,0.9991042005899122,1.0
alpha,24,lh.17Networks_13-7,0.2094414860480888,0.20937074762326616,0.014387977587445866,267,0.4372796087444979,0.4440638726996896,0.02431498034429207,0.6877997747862764,0.9991407828786979,1.0
alpha,25,lh.17Networks_13-11,0.21013133128021055,0.2103844055608058,0.013438162165918845,267,0.4354901347818649,0.44179251326021135,0.02405094672926238,0.7076118714267275,0.9991684065789254,1.0
alpha,26,lh.17Networks_17-2,0.210955096940582,0.21171750125935404,0.014596179572968425,267,0.4390178716562878,0.44513025766860526,0.022658400629132488,0.6382917347312725,0.9991766545271333,1.0
alpha,27,lh.17Networks_17-5,0.2158024733752274,0.21657036241698696,0.010248798188766629,267,0.4293775690587608,0.4346576149438984,0.030206218032069097,0.678468459376797,0.999506401600866,1.0
alpha,28,lh.17Networks_17-1,0.21647323981653752,0.21727468444733558,0.010801893622551573,267,0.43695889036077384,0.4436422848057072,0.026276392461598432,0.6280789621445085,0.9994721672171492,1.0
alpha,29,lh.17Networks_17-3,0.20879545900227695,0.20895378498164205,0.013817206349523057,267,0.4376625584510881,0.4427165667671534,0.02149232941294123,0.7320298052801344,0.9991659081795118,1.0
alpha,30,lh.17Networks_17-11,0.20324284097921227,0.20260913551590082,0.013698858208443819,267,0.44171605679555676,0.4453943633303156,0.020008463926196027,0.8424323372241753,0.9989773668042157,1.0
alpha,31,lh.17Networks_17-8,0.2114542772791618,0.2112658550771563,0.013192582085007811,267,0.43636695146192983,0.4433050120524702,0.024972236793468706,0.6757259076656998,0.9992081094297122,1.0
alpha,32,lh.17Networks_15-4,0.21466839828288203,0.2156411233825369,0.00976209794207138,267,0.4312498295076917,0.43484377280955827,0.027363059111394892,0.7651170522604458,0.9994817092596612,1.0
alpha,33,lh.17Networks_15-1,0.2116193860984184,0.21215737691286113,0.010172656401526968,267,0.43800247074089427,0.44327441050269806,0.025089956292492346,0.7996630331676859,0.9993461595270462,1.0
alpha,34,lh.17Networks_15-5,0.21598354247579696,0.21756617091985464,0.010439482856055154,267,0.4242477994187924,0.426928138777528,0.03232273290389657,0.6989781080133626,0.9995441868922842,1.0
alpha,35,lh.17Networks_1-2,0.22156257331574622,0.22382494354768914,0.010624274689022738,267,0.4206400461362294,0.42417328059254367,0.03138962529663082,0.4401893164913095,0.9996674996309072,1.0
alpha,36,lh.17Networks_4-1,0.21800701045907597,0.2181698311683119,0.01092507862661715,267,0.4357590378490948,0.443016604664108,0.02724147066041623,0.4942623286872644,0.9994451967937246,1.0
alpha,37,lh.17Networks_9-2,0.21325325710117118,0.21396881560919054,0.01151119992381782,267,0.4397209033390247,0.44688662071899976,0.023139949863025346,0.700873464645712,0.9993438359896308,1.0
alpha,38,lh.17Networks_11-4,0.21206849995751026,0.21201036589709904,0.010604875066074082,267,0.4400032622589464,0.4452379845555523,0.024082648520802986,0.7752640039041964,0.9993245648656262,1.0
alpha,39,lh.17Networks_11-1,0.22091538910652614,0.22175506266500647,0.010207880878712017,267,0.4293771611641517,0.432688836481035,0.028718803084691023,0.42623737452113714,0.9995929050858414,1.0
