resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z,PVALB,SST,VIP,GAD1,GAD2,PV_minus_SST
400,261,0.6005438438420497,0.9998964462207316,7Networks_RH_Default_pCunPCC_2-rh,rh,Default,4.470121007799451,-44.1611646641799,20.471178127768265,,,,,,
400,262,0.5942353128141653,0.9999241178188216,7Networks_RH_Default_pCunPCC_3-rh,rh,Default,16.043998142930327,-64.62959662265465,26.699371850686,,,,,,
400,263,0.596138961082918,0.999913651915034,7Networks_RH_Default_pCunPCC_4-rh,rh,Default,4.632948196223766,-52.26327028337693,24.680937318612408,0.7968361560083936,0.3070248123136772,0.4635222424805402,0.4373424433123474,0.331060439595236,2.025777260810195
400,264,0.5930089259571937,0.9999291874107982,7Networks_RH_Default_pCunPCC_5-rh,rh,Default,4.057480467457167,-62.76660713007752,31.82082361906347,0.987575937217211,0.6461029498060773,0.44017948184966676,0.5133455430323509,0.30026870199622135,1.0633327684067337
400,265,0.597869105286797,0.9999084044023604,7Networks_RH_Default_pCunPCC_6-rh,rh,Default,5.061209592025379,-39.29035188483977,36.50329726726588,0.811365055679164,0.3833063041579814,0.47759106886990726,0.6845321765760732,0.73671939272973,1.6696850752361059
400,266,0.5971717451034817,0.9999087535858626,7Networks_RH_Default_pCunPCC_7-rh,rh,Default,2.2020231840274147,-18.82170599525895,39.06002417837436,0.5858207250547649,0.2553571699441565,0.14459172043414453,0.4647951235051328,0.4522108593211619,1.277632111463906
400,267,0.5933325235432376,0.999924710656966,7Networks_RH_Default_pCunPCC_8-rh,rh,Default,11.215948670823998,-51.38251839040596,36.54573605261116,0.7031192303555578,0.33225325162972685,0.2811218425914445,0.6353552845424403,0.5593338515766508,1.4234957417305738
400,268,0.5939439839061057,0.9999263593889725,7Networks_RH_Default_pCunPCC_9-rh,rh,Default,6.368820904090652,-49.40895337643831,44.86351006804502,0.9141362164043523,0.2365428286112253,0.24978657657262934,0.5493764256227863,0.3578031136196952,2.997672959776759
400,269,0.5978479133827452,0.9999111584754428,7Networks_RH_DorsAttn_FEF_1-rh,rh,DorsAttn,38.3135613531902,-3.6349047379636463,50.73709463662114,,,,,,
400,270,0.5975922499391086,0.9999223949872836,7Networks_RH_DorsAttn_FEF_2-rh,rh,DorsAttn,26.464219323712594,-3.432914727188832,49.81678637927657,0.5589500070270674,0.5271322228917225,0.5846119039495399,0.5538393843796098,0.4645636231043519,-0.3777572542698643
400,271,0.5993147574208222,0.9999095564064872,7Networks_RH_DorsAttn_FEF_3-rh,rh,DorsAttn,23.17010997404063,-4.056077748322879,59.61092115084983,,,,,,
400,272,0.6064702130296121,0.999879990819614,7Networks_RH_DorsAttn_Post_1-rh,rh,DorsAttn,46.348202926374704,-53.78820482494301,-16.448455304788023,0.8069876398082074,0.43356567324828704,0.5934546748385359,0.6165672145337107,0.6412025994859695,1.3664641577622414
400,273,0.5951206156050558,0.9999194091035704,7Networks_RH_DorsAttn_Post_10-rh,rh,DorsAttn,27.60359283239019,-61.39694359639738,46.25960829476861,0.6029119523896066,0.10749202166628914,0.4200547499356098,0.5909903437946354,0.6021499619783143,2.1904377888768223
