model,r,p_param,p_spin
rho_raw,-0.7220225062190855,1.1798501942164673e-65,0.0
rho | gamma_rel,-0.43017630106553856,1.898055640389213e-19,0.0
rho | spectral_slope,-0.7001514591422537,3.3568562888797497e-60,0.0
rho | gamma_rel + slope,-0.24992145450550857,4.119325020074278e-07,0.0
rho | all_spectral + ts_rms,-0.23397844520503125,2.2369123730382567e-06,0.0
both_residualized,-0.4544754238485402,8.805631919681775e-22,0.0
