parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,n_subjects
0,7Networks_LH_Cont_Cing_1-lh,lh,-2.2256717918325517,3.6683418127521312,30.230103321564503,0.46144260987914404,0.016906771519731325,1093
1,7Networks_LH_Cont_Cing_2-lh,lh,-3.1809476000639414,-21.007527719394798,29.78528140953138,0.475063862785756,0.014588973816764298,1093
2,7Networks_LH_Cont_OFC_1-lh,lh,-27.72670631495984,46.75480225866392,-14.109120785780847,0.43783580054426846,0.0209164298490594,1093
3,7Networks_LH_Cont_PFCl_1-lh,lh,-42.23302016870068,46.22517440858052,-4.52016727584215,0.46141317393812054,0.01927470080209393,1093
4,7Networks_LH_Cont_PFCl_2-lh,lh,-45.096832626477806,32.46106359431174,10.39753443662044,0.42950445872887116,0.02113562964924277,1093
5,7Networks_LH_Cont_PFCl_3-lh,lh,-39.34782922495966,46.15311339668606,11.77650232563848,0.41082827287576074,0.022909488183586894,1093
6,7Networks_LH_Cont_PFCl_4-lh,lh,-28.39669974502809,50.5418346111591,12.993818799157047,0.4857223611707348,0.012521857551459363,1093
7,7Networks_LH_Cont_PFCl_5-lh,lh,-42.35231753906917,35.688901406168284,20.877683296881088,0.4167112691503189,0.02621576463276421,1093
8,7Networks_LH_Cont_PFCl_6-lh,lh,-42.86352279989477,21.123559542518247,25.78900273088465,0.4048135902560708,0.02110124073124379,1093
9,7Networks_LH_Cont_PFCl_7-lh,lh,-37.14715568504142,6.909435672052142,31.01085873065482,0.4576616278925934,0.018228470384916925,1093
10,7Networks_LH_Cont_PFCl_8-lh,lh,-37.89648876758601,31.07452515734742,36.07220465300099,0.43770839227717445,0.019119114030935355,1093
11,7Networks_LH_Cont_PFCmp_1-lh,lh,-4.862709725057924,25.65371003708282,45.29731506991696,0.39549065757452456,0.027140694561680345,1093
12,7Networks_LH_Cont_PFCv_1-lh,lh,-33.10543285536419,18.18721230956968,-9.939000995639953,0.4859868006949194,0.010927200848664859,1093
13,7Networks_LH_Cont_Par_1-lh,lh,-28.972550839407567,-72.08451705061768,36.627593393065496,0.41149424947806357,0.024964429864573496,1093
14,7Networks_LH_Cont_Par_2-lh,lh,-57.43772529241607,-45.16406984404316,42.6297962684331,0.3857777062024037,0.028186235304406074,1093
15,7Networks_LH_Cont_Par_3-lh,lh,-51.70714798822522,-53.06946920254301,39.308137758384994,0.4689617889340212,0.014870578857476016,1093
16,7Networks_LH_Cont_Par_4-lh,lh,-33.01249050057453,-60.82633115703933,41.58812086132989,0.431558689260414,0.02669874805193153,1093
17,7Networks_LH_Cont_Par_5-lh,lh,-41.75459424227369,-54.409667524385625,40.20693772838962,0.40923622397164394,0.02411380265875875,1093
18,7Networks_LH_Cont_Par_6-lh,lh,-44.24843875250716,-44.61400144608295,42.80799689728426,0.3935960946907008,0.026738189312124204,1093
19,7Networks_LH_Cont_Temp_1-lh,lh,-60.02472139294152,-49.59256503171226,-10.852849359675368,0.47658814560191437,0.012378556189132854,1093
20,7Networks_LH_Cont_pCun_1-lh,lh,-10.760401704632644,-75.83670678375461,43.22303682016143,0.422805517141472,0.023642814265110505,1093
21,7Networks_LH_Cont_pCun_2-lh,lh,-7.017724206677307,-60.92232099007134,51.415970837159016,0.4470022954358781,0.019890017942864577,1093
22,7Networks_LH_Default_PFC_1-lh,lh,-35.41555273520814,22.084490812704704,-15.082578042399652,0.41522506666302433,0.030321162083215156,1093
23,7Networks_LH_Default_PFC_10-lh,lh,-53.244488806094765,19.86821067858042,10.648061996735867,0.39949198038658407,0.029461155281485067,1093
24,7Networks_LH_Default_PFC_11-lh,lh,-16.652498448100907,64.12688667021891,10.012552964724776,0.4260803453422353,0.02576400780659942,1093
25,7Networks_LH_Default_PFC_12-lh,lh,-5.448136830848746,30.143438312911176,21.237053693985988,0.4457854417959268,0.021283871177219523,1093
26,7Networks_LH_Default_PFC_13-lh,lh,-5.358658399160932,49.0758804926848,27.355037936937627,0.41844487300106614,0.02373414499521128,1093
27,7Networks_LH_Default_PFC_14-lh,lh,-16.577720333903617,54.36081275852045,30.122063154449112,0.4274073895115368,0.023208222327060917,1093
28,7Networks_LH_Default_PFC_15-lh,lh,-24.65000903312796,44.89307394795034,28.692124938338456,0.4205133221022127,0.02846560994875283,1093
29,7Networks_LH_Default_PFC_16-lh,lh,-26.229546386109305,26.803473117083488,38.6378469975037,0.444615195758689,0.02331882365057463,1093
30,7Networks_LH_Default_PFC_17-lh,lh,-41.33548079856023,18.13569087818757,45.765911541195216,0.42555472619769896,0.025238837543727077,1093
31,7Networks_LH_Default_PFC_18-lh,lh,-9.74775480605409,42.90992183266523,48.448833176237855,0.4619433171432742,0.017633647063258987,1093
32,7Networks_LH_Default_PFC_19-lh,lh,-20.882703936010376,34.39732618116795,42.4120461313348,0.44917625773746145,0.020926325565716834,1093
33,7Networks_LH_Default_PFC_2-lh,lh,-34.73836611879283,36.41457536713831,-13.202855249931073,0.4746223171612215,0.015282985101607218,1093
34,7Networks_LH_Default_PFC_20-lh,lh,-42.85162354774601,4.787632482870184,45.78667462540932,0.46864968615234087,0.015131246313784274,1093
35,7Networks_LH_Default_PFC_21-lh,lh,-32.034395758731605,13.224192363553328,52.6139647658696,0.47037213792378973,0.016180032237451198,1093
36,7Networks_LH_Default_PFC_22-lh,lh,-25.162960916195274,17.890900521908165,47.82930414931579,0.4564940988468831,0.019400271960851635,1093
37,7Networks_LH_Default_PFC_23-lh,lh,-13.077377486804217,25.037361837903557,58.38545190233328,0.4655686113264375,0.016937576383632635,1093
38,7Networks_LH_Default_PFC_24-lh,lh,-7.39856478587175,10.489577521097202,63.66846887148344,0.46187576981688594,0.016430569110268734,1093
39,7Networks_LH_Default_PFC_3-lh,lh,-4.724587174592722,52.44956600132273,-9.9265980175121,0.45004737598813355,0.020614899338961948,1093
40,7Networks_LH_Default_PFC_4-lh,lh,-5.289522376148108,34.716976993096935,-8.594936791273296,0.45759801634670444,0.01582889258286587,1093
41,7Networks_LH_Default_PFC_5-lh,lh,-46.50230795114152,33.41523071644838,-10.048385246944758,0.4522841508918597,0.016746820513154514,1093
42,7Networks_LH_Default_PFC_6-lh,lh,-28.767925863574675,53.433223522907625,0.9124134181494138,0.443130347333254,0.020069912445523756,1093
43,7Networks_LH_Default_PFC_7-lh,lh,-46.10304853360947,27.4919744831242,1.4340034216095388,0.4470968251123563,0.022913034445275444,1093
44,7Networks_LH_Default_PFC_8-lh,lh,-7.544467431338713,54.49682205118597,7.529713835653562,0.43828479065943093,0.017944200234207355,1093
45,7Networks_LH_Default_PFC_9-lh,lh,-6.932250439334702,41.64669330303486,7.384135745438122,0.4356656296162583,0.020067924241944222,1093
46,7Networks_LH_Default_Par_1-lh,lh,-57.383010887272576,-49.72522937550264,12.918316185204691,0.44235779460916375,0.01844586346618002,1093
47,7Networks_LH_Default_Par_2-lh,lh,-42.824573299427726,-57.85325620582066,17.128322882973468,0.44209658762642295,0.019348422018987378,1093
48,7Networks_LH_Default_Par_3-lh,lh,-42.61979447022183,-75.7570265501533,24.6785933005728,0.4672127896965891,0.014863009226810386,1093
49,7Networks_LH_Default_Par_4-lh,lh,-42.58179975369058,-63.030436059429306,27.821308761277734,0.451550960999094,0.016676884004767082,1093
50,7Networks_LH_Default_Par_5-lh,lh,-54.131188492661074,-55.54472807411835,25.30252821497457,0.4210281700756576,0.022719402334627114,1093
51,7Networks_LH_Default_Par_6-lh,lh,-39.05635863200874,-73.46306570016654,40.98188612567392,0.4218728874774701,0.023082453526076057,1093
52,7Networks_LH_Default_Par_7-lh,lh,-47.452882282069474,-63.57486788952937,41.60346452525405,0.44083504476078916,0.014571282121497761,1093
53,7Networks_LH_Default_Temp_1-lh,lh,-55.9116706111005,-7.6435819522878115,-27.64751808117361,0.4680234875158013,0.017135158448510265,1093
54,7Networks_LH_Default_Temp_10-lh,lh,-52.29275311985409,-44.45777504342105,3.683274732517424,0.4688236256109683,0.01686285812695055,1093
55,7Networks_LH_Default_Temp_2-lh,lh,-61.790484664840825,-23.343264159267637,-21.159731723702887,0.45668072691981987,0.015822122938325023,1093
56,7Networks_LH_Default_Temp_3-lh,lh,-58.37601721091349,-38.36302311433469,-20.80113221778244,0.42687892209592326,0.019434472242186515,1093
57,7Networks_LH_Default_Temp_4-lh,lh,-56.184116394907726,-16.283339937164754,-14.49555316398523,0.4361711616872673,0.022568471234762147,1093
58,7Networks_LH_Default_Temp_5-lh,lh,-56.14723524146419,-0.4664827350988786,-11.205865896063736,0.43819893503457785,0.018786144056220706,1093
