parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,coverage,n_subjects
45,7Networks_LH_Default_PFC_9-lh,lh,-6.932250439334702,41.64669330303486,7.384135745438122,0.14516607790145042,0.03934892803640671,1.0,1096
46,7Networks_LH_Default_Par_1-lh,lh,-57.383010887272576,-49.72522937550264,12.918316185204691,0.14455147311887204,0.03895372394405811,1.0,1096
47,7Networks_LH_Default_Par_2-lh,lh,-42.824573299427726,-57.85325620582066,17.128322882973468,0.1454639519360482,0.03959761340278883,1.0,1096
48,7Networks_LH_Default_Par_3-lh,lh,-42.61979447022183,-75.7570265501533,24.6785933005728,0.1488208935996409,0.039467362293094575,1.0,1096
49,7Networks_LH_Default_Par_4-lh,lh,-42.58179975369058,-63.030436059429306,27.821308761277734,0.14579991964337477,0.038991451195604314,1.0,1096
50,7Networks_LH_Default_Par_5-lh,lh,-54.131188492661074,-55.54472807411835,25.30252821497457,0.14225153499171295,0.03964863014734709,1.0,1096
51,7Networks_LH_Default_Par_6-lh,lh,-39.05635863200874,-73.46306570016654,40.98188612567392,0.1431531122552084,0.039377177492403874,1.0,1096
52,7Networks_LH_Default_Par_7-lh,lh,-47.452882282069474,-63.57486788952937,41.60346452525405,0.14845646459839834,0.03909908052434415,1.0,1096
53,7Networks_LH_Default_Temp_1-lh,lh,-55.9116706111005,-7.6435819522878115,-27.64751808117361,0.14943998004880585,0.04105337949385396,1.0,1096
54,7Networks_LH_Default_Temp_10-lh,lh,-52.29275311985409,-44.45777504342105,3.683274732517424,0.1494077977031745,0.040439740821260596,1.0,1096
55,7Networks_LH_Default_Temp_2-lh,lh,-61.790484664840825,-23.343264159267637,-21.159731723702887,0.1468961735104627,0.040660720560631844,1.0,1096
56,7Networks_LH_Default_Temp_3-lh,lh,-58.37601721091349,-38.36302311433469,-20.80113221778244,0.14500148379347472,0.039539064404857716,1.0,1096
57,7Networks_LH_Default_Temp_4-lh,lh,-56.184116394907726,-16.283339937164754,-14.49555316398523,0.14395394586860336,0.040647437113466925,1.0,1096
58,7Networks_LH_Default_Temp_5-lh,lh,-56.14723524146419,-0.4664827350988786,-11.205865896063736,0.14533499029138738,0.040305164446732655,1.0,1096
59,7Networks_LH_Default_Temp_6-lh,lh,-58.67622828198444,-38.53217578000066,-5.0871125535864685,0.14051625120422143,0.04133207696045375,1.0,1096
60,7Networks_LH_Default_Temp_7-lh,lh,-51.35545365942661,-28.308782433717383,-6.800510683236047,0.14780122897343284,0.039310304726742074,1.0,1096
61,7Networks_LH_Default_Temp_8-lh,lh,-61.78149339379368,-16.813580985261474,-3.943987178188997,0.14733012571968077,0.04097810968339091,1.0,1096
62,7Networks_LH_Default_Temp_9-lh,lh,-61.810173705013,-35.032639649363446,2.062868429731705,0.14477399448466743,0.040463635624225426,1.0,1096
63,7Networks_LH_Default_pCunPCC_1-lh,lh,-7.1763669689368585,-54.03647287252248,7.499414140005204,0.1480579154769239,0.03943914244592828,1.0,1096
64,7Networks_LH_Default_pCunPCC_10-lh,lh,-4.11859862944659,-65.55800170732219,41.53012864522165,0.1468325077380638,0.04085156773687818,1.0,1096
65,7Networks_LH_Default_pCunPCC_11-lh,lh,-7.123247340262015,-49.818272388727465,42.59006779616111,0.14588141438780644,0.04073709440418373,1.0,1096
66,7Networks_LH_Default_pCunPCC_2-lh,lh,-14.11254913537572,-62.67526649996493,17.11080800938307,0.1431996141892191,0.041571101367426776,1.0,1096
67,7Networks_LH_Default_pCunPCC_3-lh,lh,-3.2310558035969734,-54.12389100514925,20.204847374023537,0.14660220233610258,0.04083420184459975,1.0,1096
68,7Networks_LH_Default_pCunPCC_4-lh,lh,-4.187172914616038,-39.83902543355404,24.192996006833308,0.14555812058056508,0.038878636113300905,1.0,1096
69,7Networks_LH_Default_pCunPCC_5-lh,lh,-12.182870918188613,-68.88448113755297,30.34756563875241,0.14191315853078593,0.038539115679267155,1.0,1096
70,7Networks_LH_Default_pCunPCC_6-lh,lh,-6.210162707089527,-59.21063153043514,29.97880504757839,0.14274694419582948,0.03749988197917932,1.0,1096
71,7Networks_LH_Default_pCunPCC_7-lh,lh,-7.397917231708242,-43.84895533288432,33.774448196790374,0.14489450866307124,0.03834568683295063,1.0,1096
72,7Networks_LH_Default_pCunPCC_8-lh,lh,-2.999572497981412,-31.003679178811453,39.53711645419781,0.1448593874425943,0.038895048728816564,1.0,1096
73,7Networks_LH_Default_pCunPCC_9-lh,lh,-1.8576950583632528,-14.542882574504793,39.12657913627014,0.1431053789156831,0.03802691726820108,1.0,1096
74,7Networks_LH_DorsAttn_FEF_1-lh,lh,-42.38063602239867,-4.416281575106394,49.41332086471154,0.1412499299024863,0.0382912340116856,1.0,1096
75,7Networks_LH_DorsAttn_FEF_2-lh,lh,-26.209761056873607,-0.553784114816239,51.04001641735806,0.14458606381044486,0.03994031555065784,1.0,1096
76,7Networks_LH_DorsAttn_FEF_3-lh,lh,-30.667170245005902,-7.23287867207125,49.05226208024236,0.14329018560999773,0.03858343758103715,1.0,1096
77,7Networks_LH_DorsAttn_FEF_4-lh,lh,-21.806398165744284,5.312929678721981,59.09587647811226,0.14259023246002064,0.039578684035088914,1.0,1096
78,7Networks_LH_DorsAttn_Post_1-lh,lh,-44.205691876883705,-41.47907080056187,-24.02837216130461,0.14461067235147002,0.03869779247743951,1.0,1096
79,7Networks_LH_DorsAttn_Post_10-lh,lh,-27.93978271047577,-56.96442309226698,45.037484685883264,0.14233910210042616,0.03965401240651729,1.0,1096
80,7Networks_LH_DorsAttn_Post_11-lh,lh,-35.27278000163281,-38.49769673009557,44.12522832990632,0.1431374732776023,0.03890324105187515,1.0,1096
81,7Networks_LH_DorsAttn_Post_12-lh,lh,-34.70367788801006,-51.61386739818099,51.68537143632477,0.14445249618196512,0.03839200107178989,1.0,1096
82,7Networks_LH_DorsAttn_Post_13-lh,lh,-15.236237032457543,-69.27501632643431,54.09764610619516,0.14131806419317067,0.03926765763447843,1.0,1096
83,7Networks_LH_DorsAttn_Post_14-lh,lh,-26.62689025998897,-60.30824582261152,58.1833988004712,0.14249080645185197,0.04026290926739183,1.0,1096
84,7Networks_LH_DorsAttn_Post_15-lh,lh,-9.955279937660416,-57.18201072912648,61.73898947549618,0.14542994425154362,0.0400645497334879,1.0,1096
85,7Networks_LH_DorsAttn_Post_16-lh,lh,-20.9414129970836,-53.92451153709775,63.16374481616377,0.14495880888949847,0.038790424851439784,1.0,1096
86,7Networks_LH_DorsAttn_Post_17-lh,lh,-15.386701867096406,-50.276124586138806,70.73036589658349,0.14363733392681527,0.039503532267595884,1.0,1096
87,7Networks_LH_DorsAttn_Post_2-lh,lh,-47.15596871878233,-54.06269714307735,-15.919451797095528,0.14757793330991634,0.039629402390975454,1.0,1096
88,7Networks_LH_DorsAttn_Post_3-lh,lh,-53.2125022771322,-62.25397700136548,-3.8142905067428297,0.13991029201517777,0.038740508010587246,1.0,1096
