parcel_idx,x,y,z,tau_fmri,spectral_exp,alff,falff,rho_fmri,n_subjects
1,-32.16138328530259,-41.44092219020173,-21.048991354466857,4.975438694248621,1.053778097212349,3.5133025623350647,0.8953307304086559,0.5623222646635392,68
2,-30.061176470588236,-32.550588235294114,-18.04705882352941,4.879614871736623,0.9354804584813072,3.4937421514635405,0.8957376013800185,0.564571556973836,68
3,-35.36569579288026,-62.032362459546924,-17.055016181229774,4.565863861467492,0.5426647267294652,3.2622922186795855,0.8419158785572213,0.5864837515733857,68
4,-24.518703241895267,-54.45386533665835,-8.249376558603494,5.245182371281322,1.0726211704135944,3.423570409193362,0.899490812718715,0.5569971292113778,68
5,-23.36150234741784,-72.67136150234742,-10.305164319248824,4.826010104778317,0.7391662551748355,3.366523223185888,0.8611921490392677,0.5788679924628211,68
6,-36.41456582633053,-81.38935574229691,-15.966386554621849,4.359203310122402,0.3076139074386617,3.2783978560483273,0.8266808475667213,0.5962305633984644,68
7,-18.612021857923494,-37.2896174863388,-11.770491803278688,4.967683260085904,0.8597984121852601,3.441982800374629,0.881809680557774,0.5682702189852452,68
8,-45.15973741794312,-70.04814004376368,-8.301969365426693,4.33964889596015,0.3497329084776807,3.303586616749323,0.836447208103183,0.5957612364327798,68
9,-16.950000000000003,-86.3875,-14.987499999999997,4.6200602212883695,0.5551805294455066,3.3467732375861776,0.8493394388792876,0.5893174403371185,68
10,-12.168582375478934,-61.18773946360153,-4.727969348659002,5.117132527462452,1.0336815518243219,3.438110605060458,0.8969757033609862,0.560426506882251,68
11,-6.727272727272734,-75.76623376623377,-5.733766233766232,4.829115584732048,0.7281764193257907,3.319041393820604,0.8620691554359243,0.5778385379561746,68
12,-24.406779661016955,-96.74576271186442,-11.92467043314501,4.314393786580429,0.4127674182702565,3.360854765350365,0.8371163671612342,0.591979385665258,68
13,-13.445378151260499,-42.94117647058823,-5.445378151260499,5.024643759375382,0.9174938167318707,3.4714747138559514,0.8920846616755745,0.5639518689651185,68
14,-41.553846153846166,-86.43076923076923,-3.2564102564102626,4.111038746838628,0.29579807182790013,3.337282806477494,0.831036097574842,0.5983742154536895,68
15,-7.437984496124031,-97.31007751937985,-7.244186046511629,4.401908868604667,0.4466766858613454,3.321731867889136,0.8342339168073025,0.5920596959321437,68
16,-14.103092783505161,-56.85567010309278,1.3402061855670127,5.119859215558538,1.0401905615497014,3.4192938123317718,0.904203193540562,0.5583383863775131,68
17,-46.14953271028037,-73.07476635514018,6.135514018691595,4.203537196405054,0.23958942058537172,3.28547056282648,0.82556908170696,0.5970144958766204,68
18,-4.633093525179859,-88.41247002398082,1.7553956834532443,4.534003589141952,0.5187716671773932,3.3412226661140387,0.8454286656458986,0.5904906181782754,68
19,-24.431239388794566,-95.87436332767402,5.925297113752123,4.224528502754491,0.3176812359878183,3.3333888765946718,0.8288237144901962,0.5968200782972785,68
20,-13.533333333333331,-48.88333333333334,3.9833333333333343,4.979721796960536,0.9171204531048173,3.444667857090719,0.9015242548333052,0.5632702179548122,68
21,-7.372549019607845,-74.21350762527233,9.51633986928104,5.070195324535078,0.915227291023664,3.3892996229391903,0.8885646975598034,0.5636544298924506,68
22,-18.886178861788622,-64.21951219512195,6.975609756097555,5.188791845058815,1.0591114285002063,3.4324003488729455,0.9096416987938707,0.5555662745260241,68
23,-39.415492957746466,-83.74647887323944,14.140845070422529,4.155622368506832,0.25749807998602625,3.3026453765900623,0.8333073146040259,0.599889922539258,68
24,-10.913043478260875,-96.53846153846155,17.163879598662206,4.346643469650514,0.38210675754224815,3.3622174174142416,0.8452150113349047,0.5934630176226419,68
25,-2.9635974304068498,-84.18415417558887,24.50107066381156,4.580394556340802,0.6338124004728272,3.3615788995451337,0.8589985986249274,0.581472560097069,68
26,-12.198630136986296,-71.04109589041096,20.472602739726028,5.152257323703408,1.0115195009854572,3.4290303964391082,0.9032105933164751,0.5593424147131375,68
27,-24.914772727272734,-84.6534090909091,21.903409090909093,4.230514285474271,0.3437508250095065,3.303069401223899,0.8254680167742764,0.5968695223575516,68
28,-31.809954751131215,-84.12669683257919,27.031674208144793,4.09794521406953,0.16805205225812841,3.3168466852890885,0.8230164429256995,0.5995383123859055,68
29,-16.006211180124225,-88.98136645962734,33.58385093167702,4.143651226647158,0.2620654607417696,3.3225835402532025,0.8226985641793603,0.5973515815803533,68
30,-12.031999999999996,-80.832,35.952,4.260839372401256,0.3441062468502922,3.2983718811957057,0.8285379940556549,0.5968324054155992,68
31,-21.235521235521233,-78.58687258687259,44.6949806949807,4.113412864390585,0.23386732943856844,3.3165496317907888,0.8176151003479681,0.6002289812977106,68
32,-49.79591836734693,-9.775510204081627,0.45408163265305745,5.1791562941027545,1.0983782713303845,3.5079601302354044,0.9080396335314896,0.5609814196135402,68
33,-55.94285714285715,-21.35918367346939,7.70204081632653,5.227360318902122,1.1814486879122388,3.5374674320811117,0.915335552847567,0.5577522073407339,68
34,-36.09271523178808,-24.066225165562912,9.867549668874176,4.53373059593619,0.6294106102754968,3.5203993901239197,0.8871887083381892,0.5801618604149427,68
35,-38.30830039525691,-9.13833992094861,12.77470355731225,4.500604407813859,0.5893281576204147,3.441222759013393,0.8897362598520713,0.5830310934928596,68
36,-35.662790697674424,-26.29069767441861,18.930232558139537,4.682594664184593,0.8035952179012759,3.4737717501619176,0.9009607511547975,0.5765785625880104,68
37,-58.59016393442624,-37.00327868852459,15.67213114754098,4.994236483906327,0.8969207099054533,3.389138104738142,0.8822819737271788,0.5709926274452446,68
38,-41.14285714285714,-34.94581280788178,14.266009852216754,5.165042997676435,1.110077975571401,3.498512498453436,0.9050727929986426,0.5580838601811554,68
39,-48.686192468619254,-12.887029288702934,14.158995815899587,4.991258963907906,1.0574271779877285,3.523185147825135,0.9055428040924477,0.5662293726534529,68
40,-59.551724137931046,-2.3448275862068897,11.267241379310349,5.049546237693511,1.0543296802450643,3.4742642748253587,0.8965571583983474,0.5634785551373038,68
41,-48.11538461538461,-24.15384615384616,17.82692307692308,5.092132459001322,1.0832379661654392,3.548126479033219,0.9056700891580091,0.5626369499414668,68
42,-60.92385786802029,-17.492385786802032,19.461928934010146,5.041310626846112,0.9867413738393996,3.4310218526751477,0.886167223363775,0.5681353082443004,68
43,-59.23549488054607,-2.232081911262796,23.74744027303754,5.382676294925409,1.0715002058889957,3.378253957477252,0.8931077807508476,0.561172718587013,68
