comparison,r,p_parametric,p_spin
tau_fmri_vs_z,0.2487251260818268,4.854207513184268e-07,0.0001
spectral_exp_vs_z,-0.21687354457930352,1.2391673697709912e-05,0.0001
alff_vs_z,0.04924754170995334,0.3264802744106514,0.3354
falff_vs_z,0.2135231067595875,1.6968688763134655e-05,0.0001
rho_fmri_vs_z,-0.24573738670772993,6.708870892309723e-07,0.0001
