# Schaefer parcellation centroids in fsaverage surface space
# Coordinate convention: x=ML, y=AP, z=DV (RAS orientation)
# n_parcels=400, n_networks=7
# Limitations: coordinates are surface-based, not MNI volumetric
parcel_idx,label,hemi,network,x,y,z
56,7Networks_LH_Default_Temp_3-lh,lh,Default,-58.37601721091349,-38.36302311433469,-20.801132217782442
57,7Networks_LH_Default_Temp_4-lh,lh,Default,-56.184116394907726,-16.283339937164754,-14.49555316398523
58,7Networks_LH_Default_Temp_5-lh,lh,Default,-56.14723524146419,-0.46648273509887866,-11.205865896063735
59,7Networks_LH_Default_Temp_6-lh,lh,Default,-58.67622828198444,-38.532175780000664,-5.0871125535864685
60,7Networks_LH_Default_Temp_7-lh,lh,Default,-51.35545365942661,-28.308782433717383,-6.800510683236047
61,7Networks_LH_Default_Temp_8-lh,lh,Default,-61.781493393793674,-16.813580985261474,-3.9439871781889972
62,7Networks_LH_Default_Temp_9-lh,lh,Default,-61.810173705013,-35.032639649363446,2.062868429731705
63,7Networks_LH_Default_pCunPCC_1-lh,lh,Default,-7.1763669689368585,-54.03647287252248,7.499414140005204
64,7Networks_LH_Default_pCunPCC_10-lh,lh,Default,-4.11859862944659,-65.55800170732219,41.53012864522165
65,7Networks_LH_Default_pCunPCC_11-lh,lh,Default,-7.123247340262015,-49.818272388727465,42.59006779616111
66,7Networks_LH_Default_pCunPCC_2-lh,lh,Default,-14.11254913537572,-62.67526649996493,17.11080800938307
67,7Networks_LH_Default_pCunPCC_3-lh,lh,Default,-3.2310558035969734,-54.123891005149254,20.204847374023537
68,7Networks_LH_Default_pCunPCC_4-lh,lh,Default,-4.187172914616038,-39.839025433554035,24.192996006833308
69,7Networks_LH_Default_pCunPCC_5-lh,lh,Default,-12.182870918188613,-68.88448113755297,30.34756563875241
70,7Networks_LH_Default_pCunPCC_6-lh,lh,Default,-6.210162707089527,-59.21063153043514,29.97880504757839
71,7Networks_LH_Default_pCunPCC_7-lh,lh,Default,-7.3979172317082424,-43.848955332884316,33.774448196790374
72,7Networks_LH_Default_pCunPCC_8-lh,lh,Default,-2.999572497981412,-31.003679178811453,39.53711645419781
73,7Networks_LH_Default_pCunPCC_9-lh,lh,Default,-1.8576950583632532,-14.542882574504791,39.12657913627014
74,7Networks_LH_DorsAttn_FEF_1-lh,lh,DorsAttn,-42.38063602239867,-4.416281575106394,49.413320864711544
75,7Networks_LH_DorsAttn_FEF_2-lh,lh,DorsAttn,-26.209761056873607,-0.553784114816239,51.04001641735806
76,7Networks_LH_DorsAttn_FEF_3-lh,lh,DorsAttn,-30.667170245005902,-7.23287867207125,49.05226208024236
77,7Networks_LH_DorsAttn_FEF_4-lh,lh,DorsAttn,-21.806398165744284,5.312929678721981,59.09587647811226
78,7Networks_LH_DorsAttn_Post_1-lh,lh,DorsAttn,-44.205691876883705,-41.47907080056187,-24.028372161304606
79,7Networks_LH_DorsAttn_Post_10-lh,lh,DorsAttn,-27.939782710475775,-56.96442309226698,45.037484685883264
80,7Networks_LH_DorsAttn_Post_11-lh,lh,DorsAttn,-35.27278000163281,-38.49769673009557,44.125228329906314
81,7Networks_LH_DorsAttn_Post_12-lh,lh,DorsAttn,-34.70367788801006,-51.61386739818099,51.68537143632477
82,7Networks_LH_DorsAttn_Post_13-lh,lh,DorsAttn,-15.236237032457543,-69.27501632643431,54.09764610619516
83,7Networks_LH_DorsAttn_Post_14-lh,lh,DorsAttn,-26.62689025998897,-60.30824582261152,58.183398800471195
84,7Networks_LH_DorsAttn_Post_15-lh,lh,DorsAttn,-9.955279937660416,-57.18201072912648,61.73898947549618
85,7Networks_LH_DorsAttn_Post_16-lh,lh,DorsAttn,-20.9414129970836,-53.92451153709775,63.16374481616377
86,7Networks_LH_DorsAttn_Post_17-lh,lh,DorsAttn,-15.386701867096406,-50.276124586138806,70.73036589658349
87,7Networks_LH_DorsAttn_Post_2-lh,lh,DorsAttn,-47.15596871878233,-54.06269714307735,-15.919451797095528
88,7Networks_LH_DorsAttn_Post_3-lh,lh,DorsAttn,-53.212502277132195,-62.25397700136548,-3.8142905067428297
89,7Networks_LH_DorsAttn_Post_4-lh,lh,DorsAttn,-46.47895984177876,-67.84704178719133,11.128987582749275
90,7Networks_LH_DorsAttn_Post_5-lh,lh,DorsAttn,-26.447536500472598,-69.29530358625301,27.301863451909753
91,7Networks_LH_DorsAttn_Post_6-lh,lh,DorsAttn,-50.50214662977085,-33.157821261654995,40.64988930574648
92,7Networks_LH_DorsAttn_Post_7-lh,lh,DorsAttn,-23.56977437251323,-64.05671753754487,42.030502046121136
93,7Networks_LH_DorsAttn_Post_8-lh,lh,DorsAttn,-41.804535704441804,-31.00647144860758,38.730709529601945
94,7Networks_LH_DorsAttn_Post_9-lh,lh,DorsAttn,-33.93362460633502,-47.70593910757332,38.356768957896584
95,7Networks_LH_DorsAttn_PrCv_1-lh,lh,DorsAttn,-47.973242312758714,6.2063375440996085,24.471581162030425
96,7Networks_LH_DorsAttn_PrCv_2-lh,lh,DorsAttn,-49.706065134848316,0.9781463359288248,36.64115305562173
97,7Networks_LH_Limbic_OFC_1-lh,lh,Limbic,-13.292980548075713,21.18468537236926,-21.087557409528042
98,7Networks_LH_Limbic_OFC_2-lh,lh,Limbic,-23.896385360371966,21.985710938771565,-20.290748986126232
99,7Networks_LH_Limbic_OFC_3-lh,lh,Limbic,-10.873434260217607,43.48105623411096,-23.46935508130253
100,7Networks_LH_Limbic_OFC_4-lh,lh,Limbic,-3.754660211937337,20.102923882762088,-18.793292442756364
101,7Networks_LH_Limbic_OFC_5-lh,lh,Limbic,-16.13442856102314,62.18571597164117,-7.9065609587473995
102,7Networks_LH_Limbic_TempPole_1-lh,lh,Limbic,-39.70239196528656,-7.127084286019371,-41.0033975718879
103,7Networks_LH_Limbic_TempPole_2-lh,lh,Limbic,-26.86821711989882,4.227945093631065,-38.743945361419044
104,7Networks_LH_Limbic_TempPole_3-lh,lh,Limbic,-26.731302960713705,-10.890952986081441,-33.499243920644126
105,7Networks_LH_Limbic_TempPole_4-lh,lh,Limbic,-51.7472156144016,-24.363657580021922,-32.80556341572594
106,7Networks_LH_Limbic_TempPole_5-lh,lh,Limbic,-40.06220527048464,-23.021770585466314,-26.49928586129789
107,7Networks_LH_Limbic_TempPole_6-lh,lh,Limbic,-47.4509777497353,8.622316963813343,-30.741305484097612
108,7Networks_LH_Limbic_TempPole_7-lh,lh,Limbic,-33.55322896501292,7.815340258841119,-26.289559712617294
109,7Networks_LH_Limbic_TempPole_8-lh,lh,Limbic,-20.833664374048976,-22.477604462661052,-25.046339268410673
110,7Networks_LH_SalVentAttn_FrOperIns_1-lh,lh,SalVentAttn,-44.275077141535235,-1.9691270553615543,-15.561208579821743
111,7Networks_LH_SalVentAttn_FrOperIns_2-lh,lh,SalVentAttn,-39.97043976865537,0.595864837537787,-6.664366941782386
112,7Networks_LH_SalVentAttn_FrOperIns_3-lh,lh,SalVentAttn,-32.39046696366935,26.026379378746295,-0.3362175469819842
113,7Networks_LH_SalVentAttn_FrOperIns_4-lh,lh,SalVentAttn,-40.23415162386142,-16.420856948315397,-3.9417312765411117
114,7Networks_LH_SalVentAttn_FrOperIns_5-lh,lh,SalVentAttn,-32.974421531985506,19.40142974371862,7.906767452124393
115,7Networks_LH_SalVentAttn_FrOperIns_6-lh,lh,SalVentAttn,-35.928958713498886,4.822265129268403,10.04293815226976
116,7Networks_LH_SalVentAttn_FrOperIns_7-lh,lh,SalVentAttn,-44.15241681496928,12.027876529637284,1.9547146458332756
117,7Networks_LH_SalVentAttn_FrOperIns_8-lh,lh,SalVentAttn,-51.096116187164135,0.16370650731896705,3.9859296084736675
118,7Networks_LH_SalVentAttn_FrOperIns_9-lh,lh,SalVentAttn,-51.865755596071345,8.562580772968525,12.651200385378376
119,7Networks_LH_SalVentAttn_Med_1-lh,lh,SalVentAttn,-7.6229882101972395,19.573154094349984,32.80045354014207
120,7Networks_LH_SalVentAttn_Med_2-lh,lh,SalVentAttn,-6.89563837940768,0.8559452925412733,41.32250199355478
121,7Networks_LH_SalVentAttn_Med_3-lh,lh,SalVentAttn,-12.766133691386173,-24.88988610920153,41.19620874906841
122,7Networks_LH_SalVentAttn_Med_4-lh,lh,SalVentAttn,-7.273161498623826,8.181929967880901,46.825313479857456
123,7Networks_LH_SalVentAttn_Med_5-lh,lh,SalVentAttn,-14.464288246742441,-39.05645511824771,45.86814254720214
124,7Networks_LH_SalVentAttn_Med_6-lh,lh,SalVentAttn,-7.996972425284158,-47.905287310632026,56.66460163651948
125,7Networks_LH_SalVentAttn_Med_7-lh,lh,SalVentAttn,-9.581735411692527,-4.7751348625948085,68.61623965108336
126,7Networks_LH_SalVentAttn_PFCl_1-lh,lh,SalVentAttn,-30.43239820530984,39.530498677650385,25.725265998755937
127,7Networks_LH_SalVentAttn_ParOper_1-lh,lh,SalVentAttn,-53.007303389158544,-35.49347277359816,21.688287736035655
128,7Networks_LH_SalVentAttn_ParOper_2-lh,lh,SalVentAttn,-57.54926100154381,-45.50295204227253,25.69512326030408
129,7Networks_LH_SalVentAttn_ParOper_3-lh,lh,SalVentAttn,-59.68074720102058,-24.800348331803395,30.209649454625765
130,7Networks_LH_SalVentAttn_ParOper_4-lh,lh,SalVentAttn,-60.27880584389154,-37.42226658276985,34.42161412911912
131,7Networks_LH_SalVentAttn_TempOcc_1-lh,lh,SalVentAttn,-53.62599159361529,-54.918923530160434,7.941994568516798
132,7Networks_LH_SomMot_1-lh,lh,SomMot,-49.10716878647772,-13.393378912210798,0.40768978757558755
133,7Networks_LH_SomMot_10-lh,lh,SomMot,-48.60821804058589,-25.190587270969882,17.03619863844964
134,7Networks_LH_SomMot_11-lh,lh,SomMot,-60.038825685568085,-19.985671813739206,18.521731339629167
135,7Networks_LH_SomMot_12-lh,lh,SomMot,-58.84164334007316,-5.112528729102339,22.820865601232047
136,7Networks_LH_SomMot_13-lh,lh,SomMot,-62.35561814361916,-12.373987597159909,31.453663240884236
137,7Networks_LH_SomMot_14-lh,lh,SomMot,-50.190783267419775,-10.547492154242454,28.733875165413778
138,7Networks_LH_SomMot_15-lh,lh,SomMot,-53.3214094234946,-23.755858244140292,37.91048008757211
139,7Networks_LH_SomMot_16-lh,lh,SomMot,-49.83749240769976,-10.013368644769965,40.2321214262352
140,7Networks_LH_SomMot_17-lh,lh,SomMot,-45.774021628853326,-17.987458420800163,37.900195802008355
141,7Networks_LH_SomMot_18-lh,lh,SomMot,-8.743129790720923,-13.75252651180579,45.59628399935636
142,7Networks_LH_SomMot_19-lh,lh,SomMot,-38.86746629572385,-16.22310636275578,44.99045438457107
143,7Networks_LH_SomMot_2-lh,lh,SomMot,-56.10931351951565,-23.699459115139014,5.707054936435079
144,7Networks_LH_SomMot_20-lh,lh,SomMot,-46.825092743854135,-19.557366211803593,52.93963616234915
145,7Networks_LH_SomMot_21-lh,lh,SomMot,-46.16054633649737,-30.398967910518845,54.6225489349511
146,7Networks_LH_SomMot_22-lh,lh,SomMot,-36.92225503634833,-24.852956129697137,48.816611440960536
147,7Networks_LH_SomMot_23-lh,lh,SomMot,-10.595498790968525,-36.98443543109356,51.43822518967237
148,7Networks_LH_SomMot_24-lh,lh,SomMot,-4.910091947092869,-23.927597310283396,54.10443394727046
149,7Networks_LH_SomMot_25-lh,lh,SomMot,-4.144896760297461,-9.14335792123472,57.2605713372943
150,7Networks_LH_SomMot_26-lh,lh,SomMot,-35.46460509877983,-19.694496308081753,60.009912207361566
151,7Networks_LH_SomMot_27-lh,lh,SomMot,-30.092083161568254,-44.93929588001974,58.88197968505706
152,7Networks_LH_SomMot_28-lh,lh,SomMot,-33.50274708048503,-28.586031125386555,58.95554850260417
153,7Networks_LH_SomMot_29-lh,lh,SomMot,-30.132549316611065,-36.48280794796528,60.823600436217035
154,7Networks_LH_SomMot_3-lh,lh,SomMot,-36.600375378225735,-24.485102102324717,8.472105336007406
155,7Networks_LH_SomMot_30-lh,lh,SomMot,-26.147134152439435,-11.438259468999265,60.134426028881094
156,7Networks_LH_SomMot_31-lh,lh,SomMot,-22.04363322725483,-26.53818640989416,60.840536312028476
157,7Networks_LH_SomMot_32-lh,lh,SomMot,-9.737462859300951,-42.27655872147296,68.4564729499186
158,7Networks_LH_SomMot_33-lh,lh,SomMot,-4.5160255521326,-25.76914211897783,67.47828754237
159,7Networks_LH_SomMot_34-lh,lh,SomMot,-16.98395305465736,-14.130715002357737,68.84486236950427
160,7Networks_LH_SomMot_35-lh,lh,SomMot,-19.013758380587646,-31.457821423552332,64.50237796687279
161,7Networks_LH_SomMot_36-lh,lh,SomMot,-20.53849470405113,-39.21286640400155,68.25770817294696
162,7Networks_LH_SomMot_37-lh,lh,SomMot,-13.274689418241982,-29.313758384396824,68.78446425905653
163,7Networks_LH_SomMot_4-lh,lh,SomMot,-38.73192432550015,-8.68678628993808,12.735589813597677
164,7Networks_LH_SomMot_5-lh,lh,SomMot,-36.52532194769103,-26.759153874289897,17.119322231382032
165,7Networks_LH_SomMot_6-lh,lh,SomMot,-58.85225339873676,-37.719997849821056,14.647466864282075
166,7Networks_LH_SomMot_7-lh,lh,SomMot,-41.89994005826891,-34.98152779736212,12.694232993023492
167,7Networks_LH_SomMot_8-lh,lh,SomMot,-47.326613596264544,-14.227169012377164,13.181350216885946
168,7Networks_LH_SomMot_9-lh,lh,SomMot,-60.75959134706309,-4.318530817605345,10.313856801180773
169,7Networks_LH_Vis_1-lh,lh,Vis,-31.4309310791405,-41.730547389345304,-23.353852010419683
170,7Networks_LH_Vis_10-lh,lh,Vis,-13.831584402089995,-61.93816955272968,-6.925084474659111
171,7Networks_LH_Vis_11-lh,lh,Vis,-7.6674930474741,-76.6371835941891,-6.4239725322569825
172,7Networks_LH_Vis_12-lh,lh,Vis,-24.885355559310156,-96.7344111954627,-12.331187576548398
173,7Networks_LH_Vis_13-lh,lh,Vis,-13.33588174859591,-44.53940906480609,-4.765169160052536
174,7Networks_LH_Vis_14-lh,lh,Vis,-39.96225601367736,-87.00389323226904,-5.55985734128598
175,7Networks_LH_Vis_15-lh,lh,Vis,-10.10872519621048,-97.78456176792218,-3.886825971378868
