band,center_freq,r_fixed,p_spin_fixed,r_adaptive,p_spin_adaptive,delta_abs_r,fixed_delay,adaptive_delay,n_parcels
delta,2.5,0.5502381763362698,0.0,0.41776518954709274,0.0,-0.13247298678917707,1,20,400
theta,6.0,0.46591288630144756,0.0,0.4275103871387129,0.0,-0.03840249916273464,1,8,400
alpha,10.5,-0.6485347650336715,0.0,-0.6090119105983958,0.0,-0.0395228544352757,1,5,400
beta_low,16.5,-0.3234478988692597,0.0,-0.454325888641516,0.0,0.13087798977225634,1,3,400
beta_high,25.0,-0.7744154222727455,0.0,-0.7664313464272582,0.0,-0.007984075845487326,1,2,400
gamma_low,35.0,-0.7334516696865139,0.0,-0.7334516696865139,0.0,0.0,1,1,400
broadband,20.5,-0.7353328525011124,0.0,-0.2569169093527124,0.0,-0.47841594314839997,1,2,400
