band,r,p_param,p_spin,n_parcels
delta,0.5502381763362698,4.915093772718955e-33,0.0,400
theta,0.46591288630144756,6.024504761394288e-23,0.0,400
alpha,-0.6485347650336715,4.1824004634460655e-49,0.0,400
beta_low,-0.3234478988692597,3.409488438848308e-11,0.0,400
beta_high,-0.7744154222727455,3.824785787001136e-81,0.0,400
gamma_low,-0.7334516696865139,1.0192476205657962e-68,0.0,400
broadband,-0.7353328525011124,3.081815289285303e-69,0.0,400
