metric,region,angle_from_horizontal,angle_from_vertical,angle_from_AP,angle_from_DV,elevation,r_x,r_y,r_z,r2
rho,full,72.03354201496946,17.966457985030544,72.42778418292585,17.966457985030555,-72.03354201496946,-0.06366401471687114,0.29738047742854473,-0.7497060448239631,0.6171610807479031
rho,frontal,72.64242933760173,17.357570662398274,72.81833381939366,17.357570662398278,-72.64242933760173,-0.02658989668133074,0.3082698360269695,-0.707814068995499,0.5451641377867542
rho,posterior,77.30364311773644,12.696356882263558,77.8304876463215,12.696356882263563,-77.30364311773644,-0.08128527043840776,0.21745572836267618,-0.7905120739672945,0.6556978592967941
tau,full,35.25230363290209,54.74769636709791,36.62662727489277,54.74769636709791,-35.25230363290209,0.07333395448000246,0.44672696284180596,-0.33792471818346775,0.29474182035483065
tau,frontal,83.86690051558048,6.1330994844195175,85.70938507383227,6.133099484419521,-83.86690051558048,0.06561729693842511,0.051404760616875385,-0.7455166787710414,0.562387332754418
tau,posterior,15.537823404318331,74.46217659568167,24.196602362946113,74.46217659568167,15.537823404318331,0.10615656357704902,0.30643058990422795,0.07651228775714848,0.11444511224653486
